city,date,year,month,new_house_mom,new_house_yoy,second_hand_mom,second_hand_yoy
三亚,2025-01,2025,1,100.2,96.6,99.8,92.9
上海,2025-01,2025,1,100.6,105.6,100.4,97.7
丹东,2025-01,2025,1,99.4,93.9,99.8,89.4
乌鲁木齐,2025-01,2025,1,99.6,97.0,99.7,94.1
九江,2025-01,2025,1,99.6,92.3,99.5,90.9
兰州,2025-01,2025,1,100.0,92.4,99.3,90.7
包头,2025-01,2025,1,99.9,93.4,99.6,88.8
北京,2025-01,2025,1,99.6,94.3,100.1,96.2
北海,2025-01,2025,1,99.4,94.7,99.7,94.7
南京,2025-01,2025,1,100.7,95.2,100.0,94.4
南充,2025-01,2025,1,99.7,97.1,99.9,93.1
南宁,2025-01,2025,1,100.1,93.0,99.7,90.8
南昌,2025-01,2025,1,99.7,94.4,99.4,89.2
厦门,2025-01,2025,1,100.1,92.1,100.0,89.3
合肥,2025-01,2025,1,99.9,94.1,99.6,91.6
吉林,2025-01,2025,1,99.7,94.4,99.4,94.1
呼和浩特,2025-01,2025,1,99.4,94.2,99.3,88.6
哈尔滨,2025-01,2025,1,99.9,93.7,99.4,91.9
唐山,2025-01,2025,1,99.8,92.4,99.3,88.5
大理,2025-01,2025,1,99.7,93.7,99.8,92.3
大连,2025-01,2025,1,100.2,94.2,99.8,90.9
天津,2025-01,2025,1,100.3,97.9,100.1,94.3
太原,2025-01,2025,1,100.3,101.0,99.6,95.7
宁波,2025-01,2025,1,100.6,92.8,100.3,91.6
安庆,2025-01,2025,1,99.9,93.7,99.3,91.0
宜昌,2025-01,2025,1,99.9,94.9,99.7,92.7
岳阳,2025-01,2025,1,99.8,93.6,99.8,93.9
常德,2025-01,2025,1,99.7,92.1,99.3,90.6
平顶山,2025-01,2025,1,100.1,98.8,99.8,94.2
广州,2025-01,2025,1,100.0,91.6,99.8,90.0
徐州,2025-01,2025,1,99.6,93.9,99.4,92.7
惠州,2025-01,2025,1,100.2,93.8,99.4,89.5
成都,2025-01,2025,1,100.7,96.6,100.2,95.1
扬州,2025-01,2025,1,99.5,93.7,98.8,91.2
无锡,2025-01,2025,1,100.5,96.6,100.2,93.0
昆明,2025-01,2025,1,99.7,91.9,99.2,93.1
杭州,2025-01,2025,1,100.3,98.6,99.6,95.5
桂林,2025-01,2025,1,99.8,96.2,99.5,94.3
武汉,2025-01,2025,1,100.5,93.1,99.5,90.1
沈阳,2025-01,2025,1,99.8,96.3,99.6,92.8
泉州,2025-01,2025,1,100.1,92.0,99.8,88.9
泸州,2025-01,2025,1,99.5,92.2,99.7,92.0
洛阳,2025-01,2025,1,99.7,93.9,99.6,92.6
