指标,数值
样本量,840.0
新房同比指数均值,96.21928571428573
二手房同比指数均值,93.70749999999998
样本协方差,3.2573402860548275
新房同比指数方差,5.7251818491401325
二手房同比指数方差,4.179383492252684
Pearson相关系数_手算,0.665905153886707
Pearson相关系数_pandas,0.6659051538867069
Pearson相关系数_cov,0.665905153886707
Spearman秩相关系数_手算,0.6629115693166516
Spearman秩相关系数_rank_corr,0.6629115693166517
OLS截距,38.9635697788778
OLS斜率,0.5689496634144554
OLS截距标准误,2.119315883658818
OLS斜率标准误,0.022019095915324683
RSS,1951.615378782495
TSS,3506.5027500000015
R2,0.4434296739728796
