"城市","月份","新房同比指数","二手房同比指数","新房偏离均值","二手房偏离均值","偏离乘积"
"三亚","2025-01",96.6,92.9,0.380714285714276,-0.80749999999999,-0.307426785714275
"上海","2025-01",105.6,97.7,9.38071428571428,3.99250000000001,37.4525017857143
"丹东","2025-01",93.9,89.4,-2.31928571428571,-4.30749999999999,9.99032321428568
"乌鲁木齐","2025-01",97,94.1,0.780714285714282,0.392499999999998,0.306430357142854
"九江","2025-01",92.3,90.9,-3.91928571428572,-2.80749999999999,11.0033946428571
"兰州","2025-01",92.4,90.7,-3.81928571428571,-3.00749999999999,11.4865017857143
"包头","2025-01",93.4,88.8,-2.81928571428571,-4.9075,13.8356446428571
"北京","2025-01",94.3,96.2,-1.91928571428572,2.49250000000001,-4.78381964285717
"北海","2025-01",94.7,94.7,-1.51928571428572,0.992500000000007,-1.50789107142858
"南京","2025-01",95.2,94.4,-1.01928571428572,0.69250000000001,-0.705855357142868
