城市,月份,新房同比指数,二手房同比指数,新房偏离均值,二手房偏离均值,偏离乘积
三亚,2025-01,96.6,92.9,0.38071428571426225,-0.8074999999999761,-0.3074267857142577
上海,2025-01,105.6,97.7,9.380714285714262,3.992500000000021,37.45250178571439
丹东,2025-01,93.9,89.4,-2.3192857142857264,-4.307499999999976,9.990323214285711
乌鲁木齐,2025-01,97.0,94.1,0.7807142857142679,0.3925000000000125,0.30643035714285993
九江,2025-01,92.3,90.9,-3.919285714285735,-2.807499999999976,11.003394642857106
兰州,2025-01,92.4,90.7,-3.8192857142857264,-3.007499999999979,11.486501785714243
包头,2025-01,93.4,88.8,-2.8192857142857264,-4.907499999999985,13.83564464285716
北京,2025-01,94.3,96.2,-1.919285714285735,2.492500000000021,-4.783819642857234
北海,2025-01,94.7,94.7,-1.5192857142857292,0.992500000000021,-1.5078910714286182
南京,2025-01,95.2,94.4,-1.0192857142857292,0.6925000000000239,-0.7058553571428918
