"模拟编号","样本均值"
1,3.38
2,3.38
3,3.44
4,3.2
5,3.38
6,3.54
7,3.3
8,3.44
9,3.52
10,3.16
11,3.66
12,3.12
13,3.84
14,3.2
15,3.48
16,3.24
17,3.06
18,3.38
19,3.26
20,3.74
21,3.3
22,4.04
23,3.34
24,3.84
25,3.78
26,3.76
27,3.4
28,3.38
29,3.32
30,3.7
31,3.24
32,4.06
33,3.28
34,3.44
35,2.78
36,3.02
37,3.6
38,3.32
39,3.6
40,3.3
41,3.38
42,3.36
43,3.66
44,3.28
45,3.3
46,3.56
47,3.38
48,3.68
49,3.46
50,3.3
51,3.5
52,4.14
53,3.28
54,3.7
55,3.62
56,3.22
57,3.42
58,3.88
59,3.4
60,3.3
61,3.44
62,3.48
63,3.66
64,3.46
65,4.1
66,3.08
67,3.34
68,3.72
69,3.22
70,3.26
71,3.72
72,3.32
73,3.22
74,3.2
75,3.54
76,3.2
77,3.68
78,3.68
79,3.64
80,3.72
81,3.4
82,3.64
83,3.48
84,3.3
85,3.28
86,3.48
87,3.7
88,3.34
89,3.66
90,3.76
91,4.04
92,3.2
93,3.3
94,3.22
95,3.46
96,3.5
97,4.02
98,3.22
99,3.38
100,3.68
101,3.58
102,3.52
103,3.4
104,3.64
105,3.8
106,3.42
107,3.96
108,3.62
109,3.18
110,3.62
111,3.56
112,3.08
113,3.18
114,3.64
115,3.2
116,3.74
117,3.44
118,3.24
119,3.42
120,3.64
121,3.58
122,3.52
123,3.18
124,3.54
125,3.08
126,3.52
127,3.36
128,3.74
129,3.24
130,3.52
131,3.68
132,3.3
133,3.78
134,3.7
135,3.42
136,3.72
137,3.48
138,3.6
139,3.66
140,3.46
141,3.7
142,3.44
143,3.32
144,3
145,3.3
146,3.36
147,3.58
148,3.24
149,3.9
150,3.78
151,3.06
152,3.3
153,3.56
154,3.24
155,3.58
156,3.62
157,3.1
158,3.58
159,3.58
160,3.36
161,3.56
162,3.56
163,3.76
164,3.9
165,3.46
166,3.48
167,3.7
168,3.1
169,3.36
170,3.4
171,3.16
172,3.86
173,3.84
174,3.54
175,3.16
176,3.72
177,3.66
178,3.38
179,3.04
180,3.08
181,3.92
182,3.92
183,3.12
184,3.12
185,3.74
186,3.34
187,3
188,3.32
189,2.94
190,3.34
191,3.62
192,3.32
193,3.2
194,3.74
195,3.54
196,3.42
197,3.24
198,3.54
199,3.44
200,3.5
201,3.34
202,3.5
203,3.18
204,3.82
205,3.3
