simulation,lower,upper,cover
1,2.709381372209489,4.09061862779051,True
2,3.1023088035653856,4.297691196434615,True
3,2.7352134059095814,4.131453260757085,True
4,2.9303155849316513,4.069684415068348,True
5,2.8642118476663687,4.002454819000298,True
6,2.6266539783332177,3.973346021666782,True
7,3.364764569738633,4.701902096928034,True
8,2.7028876648764553,3.9637790017902117,True
9,2.8349211628433326,4.298412170490001,True
10,3.1177867802370263,4.482213219762973,True
11,2.742737077293698,3.9905962560396353,True
12,2.970961391700911,4.362371941632422,True
13,3.3230380835687434,4.41029524976459,True
14,2.8153245435461196,4.18467545645388,True
15,2.647559242776589,3.819107423890078,True
16,2.7675239054541154,4.032476094545884,True
17,2.9309679082130122,4.135698758453654,True
18,2.8616933033925296,4.271640029940804,True
19,3.1038760634090288,4.429457269924304,True
20,2.730592755139642,4.069407244860358,True
21,2.8966611490576497,4.236672184275684,True
22,2.598622171582289,3.6680444950843776,True
23,2.4392789580429817,3.694054375290352,True
24,2.756113083502366,3.710553583164301,True
25,3.6002240660444977,4.866442600622169,False
26,3.086431107360185,4.3135688926398155,True
27,2.6469898742400226,3.8863434590933106,True
28,3.320032177890485,4.613301155442849,True
29,3.1923366239270945,4.407663376072905,True
30,2.5948695275751823,3.938463805758151,True
31,3.521272095431275,4.612061237902058,False
32,2.6870812305378307,3.8462521027955026,True
33,2.6083727872211147,3.7916272127788857,True
34,2.7663000262581505,3.967033307075183,True
35,2.2980979030719664,3.635235430261367,True
36,2.7675239054541154,4.032476094545884,True
37,3.372101597186239,4.627898402813761,True
38,3.0403979642900034,4.426268702376664,True
39,2.7986997665621622,4.001300233437838,True
40,2.7341691643141712,3.9324975023524957,True
41,3.168202470333641,4.565130862999692,True
42,2.907480207624036,4.159186459042631,True
43,2.9309679082130122,4.135698758453654,True
44,2.5690461124614306,3.83095388753857,True
45,3.2608425741138203,4.405824092552846,True
46,2.8998444661699065,4.16682220049676,True
47,2.9365921826222796,4.330074484044387,True
48,2.6786443885542246,3.921355611445775,True
49,2.872723615626024,3.993943051040642,True
50,2.5637895984535892,3.7028770682130774,True
51,3.343527403209317,4.72313926345735,True
52,3.07558148534631,4.2577518479870236,True
53,3.342185099214309,4.6578149007856915,True
54,2.8513857607400155,4.1486142392599845,True
55,2.6155993091714795,3.8510673574951872,True
56,3.049203139630251,4.217463527036416,True
57,2.15335553411457,3.513311132552097,True
58,3.07558148534631,4.2577518479870236,True
59,2.7778370527132834,4.088829613953383,True
60,2.268294545936208,3.331705454063792,False
61,2.7125265686833675,3.8208067646499657,True
62,3.02318638959133,4.17681361040867,True
63,3.4707209497658216,4.662612383567511,True
64,3.4316616692123296,4.701671664121004,True
65,2.709381372209489,4.09061862779051,True
66,2.7504912674212756,3.982842065912058,True
67,2.1676473805668772,3.4990192860997897,False
68,3.5687468688203445,4.631253131179655,False
69,3.0908013445173004,4.375865322149366,True
70,3.5169683125698796,4.68303168743012,False
71,2.55540939733425,3.7112572693324166,True
72,2.8303596896146237,4.3696403103853765,True
73,3.15335553411457,4.513311132552097,True
74,2.561514033993428,3.771819299339905,True
75,1.994177521175664,3.2724891454910026,False
76,2.91367896806308,4.0863210319369205,True
77,2.7234483986188196,4.076551601381181,True
78,2.6171951768335626,4.049471489833104,True
79,2.329373643161575,3.5372930235050912,True
80,3.02864021679492,4.304693116538413,True
81,2.895595209576868,4.304404790423132,True
82,2.7105607175126507,3.9561059491540163,True
83,3.189679887657112,4.476986779009555,True
84,3.0983283358789966,4.368338330787671,True
85,2.80351345340474,4.1298198799285935,True
86,2.6558487557608337,3.944151244239166,True
87,2.6864311073601845,3.913568892639815,True
88,2.775120411019776,4.158212922313558,True
89,2.7844238305216242,3.8822428361450427,True
90,3.5695119974465,4.763821335886834,False
91,2.957611347961797,4.3090553187048695,True
92,2.9849234526224273,4.348409880710906,True
93,2.7821082587573556,4.151225074575978,True
94,3.1676473805668772,4.49901928609979,True
95,3.1260081350081,4.407325198325233,True
96,2.535213405909582,3.9314532607570847,True
97,2.5778370527132837,3.888829613953383,True
98,2.523038228289643,3.7436284383770237,True
99,2.9640844013944196,4.369248931938913,True
100,3.503916937166203,4.62941639616713,False
101,3.325274031657078,4.474725968342922,True
102,2.25250489114783,3.414161775518837,False
103,2.892299672220357,4.174366994446309,True
104,2.749126191199947,4.117540475466719,True
105,2.892299672220357,4.174366994446309,True
106,2.810803743183631,4.1225295901497025,True
107,2.4181392541534836,3.7818607458465165,True
108,2.4927323669687924,3.7072676330312078,True
109,2.9722949602420945,4.094371706424572,True
110,2.977907042592147,4.355426290741186,True
111,2.7053284916044356,4.028004841728897,True
112,2.726197671972277,3.94046899469439,True
113,2.8513857607400155,4.1486142392599845,True
114,2.7663000262581505,3.967033307075183,True
115,2.60030110158479,3.7996988984152105,True
116,2.2770987254410744,3.5229012745589254,True
117,3.074441524826635,4.192225141840032,True
118,2.749126191199947,4.117540475466719,True
119,2.4181392541534836,3.7818607458465165,True
120,2.6083727872211147,3.7916272127788857,True
121,3.1690461124614306,4.4309538875385694,True
122,3.4392789580429812,4.694054375290352,True
123,3.425253669135134,4.508079664198199,True
124,2.662706976494909,3.8706263568384243,True
125,2.5705427300756956,3.8961239365909712,True
126,2.87546812557573,4.257865207757604,True
127,2.799237319984816,3.934096013348517,True
128,2.2980979030719664,3.635235430261367,True
129,3.1821082587573555,4.551225074575978,True
130,2.549126191199947,3.9175404754667196,True
131,2.943527403209317,4.32313926345735,True
132,2.7926748016747664,4.0739918649919,True
133,2.8642118476663687,4.002454819000298,True
134,2.956765597027259,4.176567736306075,True
135,3.3349162056134634,4.665083794386536,True
136,2.742737077293698,3.9905962560396353,True
137,2.86638465008256,4.13361534991744,True
138,2.6709540511734793,3.9290459488265204,True
139,2.712639012866968,4.020694320466365,True
140,2.712639012866968,4.020694320466365,True
141,2.8898548197813323,4.376811846885334,True
142,2.742134792242396,4.12453187442427,True
143,2.695306883461587,3.97135978320508,True
144,3.2608425741138203,4.405824092552846,True
145,2.884842651411218,4.181824015255448,True
146,2.6909446812951305,4.042388652038203,True
147,3.0983283358789966,4.368338330787671,True
148,3.4659039866514822,4.600762680015184,True
149,2.5177867802370266,3.8822132197629737,True
150,3.0767359151881046,4.5232640848118955,True
151,2.6786443885542246,3.921355611445775,True
152,3.372101597186239,4.627898402813761,True
153,2.782914924461622,4.017085075538378,True
154,2.5941759074471533,3.7391574258861797,True
155,3.300702103902056,4.499297896097944,True
156,3.019885749238378,4.446780917428288,True
157,2.5695119974464995,3.7638213358868335,True
158,2.3350780803582807,3.598255252975053,True
159,2.6307510680610866,4.03591559860558,True
160,2.7986997665621622,4.001300233437838,True
161,2.6878151224392886,3.9788515442273784,True
162,2.5633278157243162,3.9033388509423506,True
163,2.726197671972277,3.94046899469439,True
164,3.542256403920313,4.657743596079686,False
165,2.9305927551396422,4.269407244860358,True
166,2.8966611490576493,4.236672184275684,True
167,2.8895231047195478,4.2438102286137855,True
168,3.417157934087942,4.649508732578725,True
169,2.9303155849316513,4.069684415068348,True
170,2.7675239054541154,4.032476094545884,True
171,2.5668270882409248,3.9665062450924085,True
172,2.971995158271102,4.294671508395565,True
173,2.971995158271102,4.294671508395565,True
174,2.4707209497658225,3.6626123835675113,True
175,2.44102927876718,3.6256373878994865,True
176,2.952498625567619,4.247501374432382,True
177,2.726949621136389,3.873050378863611,True
178,2.7891681766466325,4.144165156686701,True
179,2.4392789580429817,3.694054375290352,True
180,2.7341691643141712,3.9324975023524957,True
181,3.017157934087942,4.249508732578724,True
182,3.359772363491007,4.440227636508992,True
183,2.2848658780499735,3.5151341219500263,True
184,2.9055352303529847,4.094464769647016,True
185,2.4796544271175467,3.8536789062157863,True
186,3.2248558970304013,4.375144102969599,True
187,2.7275108545089974,4.005822478824336,True
188,2.561514033993428,3.771819299339905,True
189,2.979305679533635,4.287360987133032,True
190,3.401744747024947,4.664921919641719,True
191,3.0966611490576494,4.436672184275684,True
192,2.7451152469695703,4.0548847530304295,True
193,2.86638465008256,4.13361534991744,True
194,2.895595209576868,4.304404790423132,True
195,3.017157934087942,4.249508732578724,True
196,3.1973036884214627,4.602696311578537,True
197,3.076005883448807,4.39066078321786,True
198,2.4657973229155603,3.8675360104177727,True
199,2.4694272383720985,3.7305727616279016,True
200,2.7547989738268823,4.245201026173118,True
201,3.2181759847445512,4.515157348588782,True
202,2.911170386046617,4.222162947286717,True
203,2.3509445300263403,3.4490554699736595,False
204,2.6125213569758756,3.987478643024124,True
205,2.6838663947171346,4.049466938616199,True
206,2.782914924461622,4.017085075538378,True
207,3.019550975638596,4.380449024361404,True
208,2.6125213569758756,3.987478643024124,True
209,2.9907562223606208,4.209243777639379,True
210,3.3277259015732517,4.672274098426748,True
211,2.4627069764949088,3.670626356838425,True
212,3.2887427306675834,4.44459060266575,True
213,3.2971229317869226,4.436210401546411,True
214,2.0633566024885193,3.336643397511481,False
215,2.7599671726919635,4.040032827308036,True
216,3.457493014029712,4.609173652636954,True
217,3.137387616432489,4.329279050234178,True
218,3.2408135409573693,4.492519792375964,True
219,3.2543576629225384,4.545642337077462,True
220,2.4937968445090006,3.8395364888243324,True
221,2.855834843313299,4.2108318233533675,True
222,3.276005883448806,4.59066078321786,True
223,2.80351345340474,4.1298198799285935,True
224,3.1107751549173033,4.489224845082696,True
225,2.9234483986188198,4.276551601381181,True
226,3.2643012415463457,4.469032091786987,True
227,3.012521356975876,4.387478643024124,True
228,2.9219374232562094,4.078062576743791,True
229,3.4282095355493043,4.571790464450696,True
230,2.982914924461622,4.217085075538378,True
231,2.5986734681091126,4.001326531890887,True
232,3.401744747024947,4.664921919641719,True
233,3.1844751926362145,4.415524807363785,True
234,3.0574930140297125,4.209173652636954,True
235,2.974205093717859,4.025794906282141,True
236,2.371995158271102,3.6946715083955644,True
237,3.156765597027259,4.376567736306074,True
238,2.9297253167828767,4.33694134988379,True
239,3.2505068611884296,4.34949313881157,True
240,3.0338327124253412,4.366167287574659,True
241,3.168202470333641,4.565130862999692,True
242,2.189168176646632,3.5441651566867014,True
243,2.806749664245781,3.993250335754219,True
244,3.001744747024947,4.264921919641719,True
245,2.6804093174970705,3.9862573491695965,True
246,2.477470409850298,3.7891962568163686,True
247,2.8629691083634126,4.203697558303254,True
248,2.8701801200714065,4.19648654659526,True
249,2.9451152469695705,4.25488475303043,True
250,3.0438940508459837,4.289439282487349,True
251,3.399237319984816,4.534096013348518,True
252,2.799237319984816,3.934096013348517,True
253,3.542256403920313,4.657743596079686,False
254,2.855834843313299,4.2108318233533675,True
255,2.9378141880018633,4.262185811998137,True
256,2.5778370527132837,3.888829613953383,True
257,3.1214646242034503,4.3452020424632165,True
258,2.823432263693925,4.043234402972741,True
259,2.8014210850661625,4.1985789149338375,True
260,3.60030110158479,4.799698898415211,False
261,2.404179551575138,3.795820448424862,True
262,3.019550975638596,4.380449024361404,True
263,2.9599671726919636,4.2400328273080365,True
264,3.2485436003601316,4.484789732973202,True
265,3.26873165846966,4.597935008197006,True
266,2.533701554983766,3.6662984450162344,True
267,2.8348691370003074,4.231797529666359,True
268,2.994177521175664,4.272489145491003,True
269,2.6040341669046874,4.129299166428646,True
270,3.1136565409066894,4.353010125759978,True
271,2.6484274136254884,3.9515725863745113,True
272,2.938818814542164,4.061181185457836,True
273,3.0837724380825993,4.249560895250734,True
274,2.933557399377831,4.199775933955503,True
275,2.8824595245332807,4.250873808800053,True
276,3.1455108366282847,4.321155830038382,True
277,2.79075622236062,4.00924377763938,True
278,2.6813666262504112,3.7853000404162556,True
279,2.8895231047195478,4.2438102286137855,True
280,2.938818814542164,4.061181185457836,True
281,3.0901557095679504,4.509844290432049,True
282,2.6307510680610866,4.03591559860558,True
283,2.345510836628284,3.5211558300383823,True
284,2.9163787019179814,4.283621298082019,True
285,2.9163787019179814,4.283621298082019,True
286,3.313656540906689,4.553010125759977,True
287,3.1615552978474843,4.238444702152516,True
288,2.2507178259001157,3.2826155074332175,False
289,2.5422564039203133,3.657743596079687,True
290,3.0895231047195475,4.443810228613786,True
291,3.342737077293698,4.590596256039635,True
292,3.3373876164324887,4.5292790502341775,True
293,3.1455108366282842,4.321155830038382,True
294,2.7305927551396416,4.069407244860358,True
295,3.403516668450446,4.596483331549554,True
296,3.616918764618098,4.64974790204857,False
297,2.77441296881094,4.22558703118906,True
298,2.3053284916044356,3.628004841728898,True
299,3.1023088035653856,4.297691196434615,True
300,3.280482322231764,4.452851011101569,True
