模拟编号,样本均值
1,3.2
2,3.58
3,3.98
4,3.88
5,3.86
6,3.68
7,3.44
8,3.6
9,3.7
10,3.26
11,3.52
12,3.24
13,3.16
14,3.52
15,3.4
16,3.56
17,3.3
18,3.38
19,3.4
20,4.06
21,3.24
22,3.42
23,3.74
24,3.56
25,3.4
26,3.22
27,3.14
28,3.72
29,3.16
30,3.36
31,3.54
32,3.8
33,3.38
34,3.74
35,3.64
36,3.54
37,3.6
38,3.54
39,3.52
40,3.48
41,3.74
42,3.74
43,3.42
44,3.56
45,3.5
46,3.18
47,3.64
48,3.32
49,3.58
50,3.46
51,4.02
52,3.32
53,3.78
54,3.26
55,3.4
56,3.52
57,3.52
58,3.82
59,3.66
60,3.36
61,3.8
62,3.12
63,3.28
64,3.7
65,3.68
66,3.02
67,3.78
68,3.5
69,3.6
70,3.08
71,3.7
72,2.68
73,3.42
74,3.46
75,3.3
76,3.26
77,3.52
78,3.54
79,3.58
80,3.8
81,3.36
82,3.3
83,3.56
84,3.02
85,3.54
86,3.58
87,3.24
88,4.06
89,3.82
90,3.28
91,3.54
92,3.64
93,3.86
94,3.52
95,3.34
96,3.52
97,3.54
98,3.08
99,2.76
100,3.64
101,3.36
102,3.74
103,3.38
104,3.78
105,3.04
106,3.5
107,3.44
108,3.64
109,3.92
110,3.3
111,3.74
112,3.32
113,3.54
114,3.78
115,3.0
116,3.22
117,3.2
118,3.9
119,3.3
120,3.06
121,3.48
122,3.3
123,3.18
124,3.28
125,3.76
126,3.78
127,3.4
128,3.32
129,3.26
130,3.34
131,3.34
132,3.36
133,3.46
134,3.64
135,3.5
136,3.24
137,3.72
138,3.52
139,3.4
140,3.34
141,3.44
142,3.54
143,3.46
144,3.34
145,3.62
146,3.68
147,3.98
148,3.76
149,3.62
150,2.92
151,3.16
152,3.22
153,3.46
154,4.08
155,3.36
156,3.8
157,3.32
158,3.32
159,3.78
160,3.58
161,3.78
162,3.58
163,3.68
164,3.26
165,3.44
166,3.36
167,3.42
168,3.42
169,3.56
170,3.52
171,3.84
172,3.48
173,3.62
174,3.2
175,3.46
176,3.6
177,3.32
178,3.28
179,3.82
180,2.88
181,3.54
182,2.94
183,3.3
184,3.34
185,3.2
186,3.34
187,3.0
188,3.5
189,3.22
190,3.22
191,3.66
192,3.4
193,3.32
194,4.02
195,3.14
196,3.14
197,2.88
198,3.7
199,3.54
200,3.76
201,3.36
202,3.44
203,3.46
204,2.88
205,3.32
206,3.46
207,3.5
208,3.14
209,3.78
210,3.52
211,3.6
212,3.2
213,3.74
214,3.54
215,3.22
216,3.82
217,3.68
218,3.34
219,3.44
220,3.8
221,3.4
222,3.2
223,3.66
224,3.52
225,3.52
226,3.4
227,3.92
228,3.26
229,3.54
230,3.7
231,3.42
232,3.1
233,3.7
234,3.7
235,4.02
236,3.24
237,3.6
238,3.7
239,3.16
240,3.98
241,3.62
242,3.16
243,2.96
244,3.44
245,3.04
246,3.68
247,3.76
248,3.46
249,3.5
250,3.6
251,3.72
252,4.04
253,3.62
254,3.36
255,3.54
256,3.58
257,3.64
258,3.6
259,4.34
260,3.38
261,3.68
262,3.38
263,3.22
264,3.32
265,3.6
266,3.44
267,2.8
268,3.58
269,3.36
270,3.54
271,3.62
272,3.74
273,3.12
274,3.72
275,3.3
276,4.0
277,3.48
278,3.58
279,3.62
280,3.4
281,3.3
282,3.34
283,3.6
284,3.4
285,3.7
286,3.8
287,3.6
288,3.36
289,3.5
290,3.62
291,3.58
292,3.62
293,3.52
294,3.84
295,3.26
296,3.96
297,3.7
298,3.84
299,3.64
300,3.26
301,3.48
302,3.6
303,3.84
304,3.8
305,3.62
306,3.26
307,3.34
308,3.4
309,3.68
310,3.54
311,3.52
312,3.24
313,3.26
314,3.9
315,3.32
316,3.42
317,3.62
318,3.42
319,3.82
320,3.34
321,2.94
322,3.5
323,3.54
324,3.34
325,3.64
326,3.34
327,3.48
328,3.64
329,3.2
330,3.54
331,3.5
332,3.78
333,3.5
334,3.42
335,4.0
336,3.64
337,3.76
338,3.46
339,3.96
340,3.3
341,3.14
342,3.22
343,3.56
344,3.28
345,3.64
346,3.2
347,3.84
348,3.0
349,3.18
350,3.54
351,3.34
352,3.28
353,3.82
354,3.44
355,3.7
356,4.04
357,3.46
358,3.66
359,3.26
360,3.36
361,3.22
362,2.88
363,3.62
364,3.38
365,3.42
366,3.46
367,3.5
368,3.7
369,3.62
370,3.38
371,3.04
372,3.88
373,3.0
374,3.14
375,3.46
376,3.54
377,3.36
378,3.1
379,3.46
380,3.22
381,3.16
382,3.6
383,3.36
384,2.84
385,3.78
386,3.54
387,3.56
388,3.4
389,3.9
390,3.62
391,3.58
392,3.2
393,3.62
394,3.6
395,3.4
396,3.66
397,3.48
398,3.74
399,3.46
400,4.1
401,3.64
402,3.6
403,3.38
404,3.48
405,3.78
406,3.76
407,3.38
408,3.2
409,3.78
410,3.6
411,3.74
412,3.14
413,3.64
414,3.32
415,3.56
416,3.26
417,4.04
418,3.08
419,3.54
420,3.68
421,3.88
422,3.94
423,3.72
424,4.12
425,3.38
426,3.44
427,3.52
428,3.58
429,3.54
430,3.76
431,3.2
432,3.74
433,3.28
434,3.52
435,3.64
436,3.34
437,3.46
438,3.32
439,3.28
440,4.08
441,3.84
442,3.58
443,3.54
444,3.38
445,3.3
446,3.36
447,3.72
448,4.14
449,3.58
450,3.26
451,3.48
452,3.5
453,3.14
454,3.38
455,3.52
456,3.62
457,3.74
458,3.84
459,3.24
460,3.66
461,3.32
462,3.4
463,4.0
464,3.44
465,3.0
466,3.8
467,3.68
468,3.82
469,3.64
470,3.6
471,3.86
472,3.58
473,3.36
474,3.72
475,4.18
476,3.68
477,3.22
478,3.7
479,3.86
480,3.76
481,3.8
482,3.96
483,3.56
484,3.66
485,3.66
486,3.7
487,3.52
488,3.1
489,3.36
490,3.38
491,3.48
492,3.1
493,3.46
494,3.48
495,3.36
496,3.34
497,3.36
498,3.76
499,3.68
500,3.24
501,3.54
502,3.26
503,3.44
504,3.58
505,3.66
506,4.02
507,2.76
508,3.68
509,3.38
510,3.54
511,3.5
512,3.36
513,3.28
514,3.68
515,3.62
516,3.34
517,3.36
518,3.52
519,3.4
520,2.94
521,3.5
522,3.48
523,3.42
524,3.42
525,3.34
526,3.94
527,3.68
528,3.18
529,3.06
530,3.08
531,3.4
532,3.38
533,3.42
534,3.86
535,3.64
536,3.38
537,3.6
538,3.68
539,3.52
540,3.34
541,3.18
542,3.16
543,3.5
544,3.5
545,3.44
546,3.68
547,3.08
548,3.76
549,3.94
550,3.42
551,3.26
552,3.98
553,3.66
554,3.56
555,3.7
556,3.76
557,3.5
558,3.62
559,3.18
560,3.66
561,3.54
562,3.6
563,3.44
564,3.34
565,3.5
566,3.52
567,3.46
568,3.74
569,3.36
570,3.74
571,3.34
572,3.74
573,3.56
574,3.78
575,3.58
576,3.52
577,4.04
578,3.04
579,3.02
580,3.74
581,3.56
582,3.74
583,3.9
584,3.44
585,3.7
586,3.26
587,3.32
