国家或地区,代码,人均GDP_2015不变美元,log人均GDP,预期寿命
Monaco,MCO,247170.219910657,12.4178325276915,86.497
Bermuda,BMU,122117.603586776,11.7127398232267,82.49
Luxembourg,LUX,104147.1739928,11.5535603123104,83.1951219512195
Ireland,IRL,94474.9879707069,11.4560904008899,83.009756097561
Switzerland,CHE,90067.4645431168,11.4083142745328,84.4073170731707
Norway,NOR,79667.5272314776,11.285617344256,83.1609756097561
Singapore,SGP,67706.8336149739,11.1229423934662,83.3463414634146
United States,USA,66356.1706750101,11.10279203732,78.890243902439
"Macao SAR, China",MAC,63377.2932129214,11.0568609250581,83.3317073170732
Qatar,QAT,62157.3751791848,11.0374247573029,82.522
Australia,AUS,61480.670710531,11.0264781070031,83.0512195121951
Denmark,DNK,60772.8624276041,11.0148986266629,82.2536585365854
