"city","date","year","month","new_house_mom","new_house_yoy","second_hand_mom","second_hand_yoy","first_tier_city"
"三亚","2025-01",2025,1,100.2,96.6,99.8,92.9,0
"上海","2025-01",2025,1,100.6,105.6,100.4,97.7,1
"丹东","2025-01",2025,1,99.4,93.9,99.8,89.4,0
"乌鲁木齐","2025-01",2025,1,99.6,97,99.7,94.1,0
"九江","2025-01",2025,1,99.6,92.3,99.5,90.9,0
"兰州","2025-01",2025,1,100,92.4,99.3,90.7,0
"包头","2025-01",2025,1,99.9,93.4,99.6,88.8,0
"北京","2025-01",2025,1,99.6,94.3,100.1,96.2,1
"北海","2025-01",2025,1,99.4,94.7,99.7,94.7,0
"南京","2025-01",2025,1,100.7,95.2,100,94.4,0
"南充","2025-01",2025,1,99.7,97.1,99.9,93.1,0
"南宁","2025-01",2025,1,100.1,93,99.7,90.8,0
"南昌","2025-01",2025,1,99.7,94.4,99.4,89.2,0
"厦门","2025-01",2025,1,100.1,92.1,100,89.3,0
"合肥","2025-01",2025,1,99.9,94.1,99.6,91.6,0
"吉林","2025-01",2025,1,99.7,94.4,99.4,94.1,0
"呼和浩特","2025-01",2025,1,99.4,94.2,99.3,88.6,0
"哈尔滨","2025-01",2025,1,99.9,93.7,99.4,91.9,0
"唐山","2025-01",2025,1,99.8,92.4,99.3,88.5,0
"大理","2025-01",2025,1,99.7,93.7,99.8,92.3,0
"大连","2025-01",2025,1,100.2,94.2,99.8,90.9,0
"天津","2025-01",2025,1,100.3,97.9,100.1,94.3,0
"太原","2025-01",2025,1,100.3,101,99.6,95.7,0
"宁波","2025-01",2025,1,100.6,92.8,100.3,91.6,0
"安庆","2025-01",2025,1,99.9,93.7,99.3,91,0
"宜昌","2025-01",2025,1,99.9,94.9,99.7,92.7,0
"岳阳","2025-01",2025,1,99.8,93.6,99.8,93.9,0
"常德","2025-01",2025,1,99.7,92.1,99.3,90.6,0
"平顶山","2025-01",2025,1,100.1,98.8,99.8,94.2,0
"广州","2025-01",2025,1,100,91.6,99.8,90,1
"徐州","2025-01",2025,1,99.6,93.9,99.4,92.7,0
"惠州","2025-01",2025,1,100.2,93.8,99.4,89.5,0
"成都","2025-01",2025,1,100.7,96.6,100.2,95.1,0
"扬州","2025-01",2025,1,99.5,93.7,98.8,91.2,0
"无锡","2025-01",2025,1,100.5,96.6,100.2,93,0
"昆明","2025-01",2025,1,99.7,91.9,99.2,93.1,0
"杭州","2025-01",2025,1,100.3,98.6,99.6,95.5,0
