"state","state_fips","year","income_pc_thousand","gdp_pc_thousand","unemployment_rate","large_state","log_population","population"
"Alabama",1,2024,58.143,49.3910681232393,2.98333333333333,1,15.4594696967027,5175620
"Alaska",2,2024,77.872,75.9164271621222,4.54166666666667,0,13.5102590428024,736938
"Arizona",4,2024,66.99,58.9330616506097,3.7,1,15.8415957575838,7584337
"Arkansas",5,2024,60.333,47.4859248066523,3.49166666666667,0,14.9481586670714,3103865
"California",6,2024,88.438,83.9892723039763,5.29166666666667,1,17.4885966001269,39373226
"Colorado",8,2024,83.792,74.8203332486509,4.125,1,15.6070840098922,5998884
"Connecticut",9,2024,96.363,77.7444183026424,3.30833333333333,0,15.1186352442072,3680780
"Delaware",10,2024,69.296,80.9654132200045,3.91666666666667,0,13.8682547992191,1054160
"District of Columbia",11,2024,114.862,209.577214140337,5.30833333333333,0,13.4477587774744,692289
"Florida",12,2024,74.399,57.9173756568398,3.35833333333333,1,16.9660368329412,23348349
"Georgia",13,2024,63.82,62.0302898107965,3.4,1,16.2353198638357,11243715
"Hawaii",15,2024,72.654,64.045315068264,2.76666666666667,0,14.1763812872718,1434578
"Idaho",16,2024,63.566,49.4820568634175,3.56666666666667,0,14.5147342391428,2012190
"Illinois",17,2024,75.531,70.7278067908223,4.98333333333333,1,16.3580948247459,12712481
"Indiana",18,2024,64.538,59.2747449516534,4.025,1,15.7543588305626,6950741
"Iowa",19,2024,66.472,63.8290853042982,3.14166666666667,0,14.9893060738255,3234245
"Kansas",20,2024,66.898,61.1340663602326,3.51666666666667,0,14.9042455597781,2970514
"Kentucky",21,2024,58.991,50.2805124656122,4.81666666666667,0,15.3401652274552,4593557
"Louisiana",22,2024,62.181,55.6726665284899,4.275,1,15.3453148290458,4617273
"Maine",23,2024,69.858,55.1003068977955,2.99166666666667,0,14.1599644278628,1411219
"Maryland",24,2024,80.565,69.247108241141,3.16666666666667,1,15.6488114428671,6254498
"Massachusetts",25,2024,94.359,87.9892457213848,3.98333333333333,1,15.7820883662302,7146179
"Michigan",26,2024,64.774,55.5893062164314,4.68333333333333,1,16.1293375236498,10113053
"Minnesota",27,2024,76.635,68.7048861719589,3.13333333333333,1,15.5752862905057,5811134
"Mississippi",28,2024,52.713,41.8026876211927,3.175,0,14.8981374245295,2952425
"Missouri",29,2024,65.614,56.4823352918156,3.7,1,15.6489211179173,6255184
"Montana",30,2024,70.431,53.1376310561119,3,0,13.947014145982,1140542
"Nebraska",31,2024,73.398,73.6561610398601,2.71666666666667,0,14.5140093928426,2010732
"Nevada",32,2024,71.147,63.5023580030154,5.39166666666667,0,14.9988508687503,3265263
"New Hampshire",33,2024,84.218,67.2555286402446,2.58333333333333,0,14.1601089732925,1411423
"New Jersey",34,2024,85.859,70.9631792289123,4.64166666666667,1,16.0693910031323,9524624
"New Mexico",35,2024,59.296,55.9660286260305,4.09166666666667,0,14.5702630557722,2127085
"New York",36,2024,86.073,91.9694191543635,4.15,1,16.8116075150132,20007295
"North Carolina",37,2024,66.637,59.7800547905255,3.64166666666667,1,16.2233188071828,11109585
"North Dakota",38,2024,72.538,79.628338089691,2.4,0,13.5870742748232,795777
"Ohio",39,2024,65.354,60.7818528617373,4.35,1,16.2902406854864,11878501
"Oklahoma",40,2024,64.624,51.1920542696982,3.2,0,15.2285369141344,4108370
"Oregon",41,2024,72.195,61.6780800020985,4.29166666666667,0,15.2670571698312,4269713
"Pennsylvania",42,2024,71.836,61.5286713002806,3.80833333333333,1,16.384651503051,13054605
"Rhode Island",44,2024,71.598,57.0543498490007,4.25,0,13.9219018421976,1112257
"South Carolina",45,2024,61.564,50.3515226369495,4.10833333333333,1,15.5242207905477,5521835
"South Dakota",46,2024,76.26,62.0422852388635,1.825,0,13.7432634686781,930301
"Tennessee",47,2024,67.073,60.4930857616216,3.375,1,15.8002111078216,7276868
"Texas",48,2024,70.544,70.5973927800155,4.11666666666667,1,17.2646547959308,31473447
"Utah",49,2024,68.051,66.6171185938052,3.26666666666667,0,15.0731538838329,3517123
"Vermont",50,2024,72.637,56.3470526040401,2.28333333333333,0,13.3785191784157,645977
"Virginia",51,2024,78.416,69.3887387642037,2.925,1,15.9953063548657,8844500
"Washington",53,2024,86.98,88.2496951868553,4.5,1,15.8896045770977,7957334
"West Virginia",54,2024,56.095,46.8019484285434,4.05,0,14.3850048212717,1767373
"Wisconsin",55,2024,68.675,59.4149046396264,3.00833333333333,1,15.6013411527664,5964532
"Wyoming",56,2024,87.628,67.6958132458874,3.11666666666667,0,13.2838680927608,587639
