state,state_fips,year,income_pc_thousand,gdp_pc_thousand,unemployment_rate,large_state,log_population,population
Alabama,1,2024,58.143,49.39106812323934,2.983333333333333,1,15.459469696702735,5175620.0
Alaska,2,2024,77.872,75.91642716212219,4.541666666666667,0,13.510259042802389,736938.0
Arizona,4,2024,66.99,58.93306165060967,3.6999999999999997,1,15.841595757583768,7584337.0
Arkansas,5,2024,60.333,47.48592480665235,3.4916666666666667,0,14.94815866707139,3103865.0
California,6,2024,88.438,83.9892723039763,5.291666666666667,1,17.488596600126858,39373226.0
Colorado,8,2024,83.792,74.82033324865091,4.125,1,15.607084009892183,5998884.0
Connecticut,9,2024,96.363,77.74441830264237,3.3083333333333336,0,15.118635244207242,3680780.0
Delaware,10,2024,69.296,80.96541322000455,3.9166666666666665,0,13.868254799219134,1054160.0
District of Columbia,11,2024,114.862,209.57721414033733,5.308333333333334,0,13.44775877747445,692289.0
Florida,12,2024,74.399,57.9173756568398,3.358333333333333,1,16.96603683294123,23348349.0
Georgia,13,2024,63.82,62.03028981079652,3.4,1,16.23531986383567,11243715.0
Hawaii,15,2024,72.654,64.04531506826397,2.766666666666666,0,14.176381287271788,1434578.0
Idaho,16,2024,63.566,49.48205686341747,3.5666666666666664,0,14.514734239142816,2012190.0
Illinois,17,2024,75.531,70.72780679082234,4.983333333333333,1,16.358094824745898,12712481.0
Indiana,18,2024,64.538,59.274744951653354,4.0249999999999995,1,15.75435883056264,6950741.0
Iowa,19,2024,66.472,63.82908530429822,3.141666666666667,0,14.989306073825487,3234245.0
Kansas,20,2024,66.898,61.13406636023261,3.516666666666667,0,14.904245559778104,2970514.0
Kentucky,21,2024,58.991,50.28051246561216,4.816666666666667,0,15.340165227455245,4593557.0
Louisiana,22,2024,62.181,55.67266652848987,4.2749999999999995,1,15.345314829045801,4617273.0
Maine,23,2024,69.858,55.100306897795456,2.9916666666666667,0,14.15996442786285,1411219.0
Maryland,24,2024,80.565,69.24710824114102,3.1666666666666665,1,15.648811442867116,6254498.0
Massachusetts,25,2024,94.359,87.98924572138482,3.983333333333333,1,15.782088366230221,7146179.0
Michigan,26,2024,64.774,55.58930621643138,4.683333333333334,1,16.12933752364977,10113053.0
Minnesota,27,2024,76.635,68.70488617195886,3.1333333333333333,1,15.575286290505707,5811134.0
Mississippi,28,2024,52.713,41.802687621192746,3.1750000000000003,0,14.898137424529489,2952425.0
Missouri,29,2024,65.614,56.48233529181556,3.6999999999999997,1,15.64892111791732,6255184.0
Montana,30,2024,70.431,53.13763105611192,3.0,0,13.94701414598205,1140542.0
Nebraska,31,2024,73.398,73.65616103986011,2.716666666666667,0,14.514009392842622,2010732.0
Nevada,32,2024,71.147,63.502358003015374,5.391666666666667,0,14.99885086875027,3265263.0
New Hampshire,33,2024,84.218,67.25552864024463,2.5833333333333335,0,14.160108973292525,1411423.0
New Jersey,34,2024,85.859,70.96317922891234,4.641666666666667,1,16.06939100313226,9524624.0
New Mexico,35,2024,59.296,55.96602862603046,4.091666666666667,0,14.570263055772239,2127085.0
New York,36,2024,86.073,91.96941915436345,4.1499999999999995,1,16.811607515013154,20007295.0
North Carolina,37,2024,66.637,59.780054790525476,3.641666666666667,1,16.22331880718277,11109585.0
North Dakota,38,2024,72.538,79.62833808969096,2.4,0,13.587074274823198,795777.0
Ohio,39,2024,65.354,60.78185286173735,4.3500000000000005,1,16.290240685486424,11878501.0
Oklahoma,40,2024,64.624,51.192054269698204,3.1999999999999997,0,15.22853691413438,4108370.0
Oregon,41,2024,72.195,61.678080002098504,4.291666666666667,0,15.267057169831151,4269713.0
Pennsylvania,42,2024,71.836,61.52867130028063,3.8083333333333336,1,16.38465150305096,13054605.0
Rhode Island,44,2024,71.598,57.05434984900072,4.25,0,13.921901842197595,1112257.0
South Carolina,45,2024,61.564,50.35152263694949,4.108333333333333,1,15.52422079054772,5521835.0
South Dakota,46,2024,76.26,62.04228523886355,1.825,0,13.74326346867814,930301.0
Tennessee,47,2024,67.073,60.49308576162162,3.375,1,15.800211107821568,7276868.0
Texas,48,2024,70.544,70.59739278001548,4.116666666666666,1,17.264654795930767,31473447.0
Utah,49,2024,68.051,66.61711859380522,3.266666666666667,0,15.073153883832921,3517123.0
Vermont,50,2024,72.637,56.34705260404008,2.283333333333333,0,13.378519178415742,645977.0
Virginia,51,2024,78.416,69.38873876420374,2.9250000000000003,1,15.995306354865699,8844500.0
Washington,53,2024,86.98,88.24969518685529,4.5,1,15.889604577097671,7957334.0
West Virginia,54,2024,56.095,46.80194842854338,4.05,0,14.385004821271746,1767373.0
Wisconsin,55,2024,68.675,59.41490463962638,3.0083333333333333,1,15.60134115276645,5964532.0
Wyoming,56,2024,87.628,67.69581324588735,3.1166666666666667,0,13.283868092760773,587639.0
