country,country_code,year,gdp_per_capita_constant_2015_usd,log_gdp_pc,trade_pct_gdp,population,co2_pc_tonnes,log_co2_pc,income_decile,income_group,high_income,high_trade
Albania,ALB,2024,6549.23387415397,8.787103356010247,79.4546360752224,2377128.0,1.8696713008302455,0.625762640459179,"(8.434, 8.801]",中低收入组,0,0
Algeria,DZA,2024,4765.72900168387,8.469205795295908,40.1345741170703,46814308.0,4.2338162939415875,1.4431037834722684,"(8.434, 8.801]",中低收入组,0,0
Angola,AGO,2024,2845.47779302975,7.953486273770852,50.8422305562091,37885849.0,0.5894967273928585,-0.5284861105165443,"(7.445, 8.152]",中低收入组,0,0
Argentina,ARG,2024,12774.3506596628,9.455194584790855,27.929760849367,45696159.0,3.7434056547290986,1.3199957999479093,"(9.234, 9.751]",中高收入组,1,0
Armenia,ARM,2024,5378.31799981682,8.59013096483468,150.064726588742,3033500.0,2.4495516729850006,0.8959050171934425,"(8.434, 8.801]",中低收入组,0,1
Aruba,ABW,2024,33373.9174591266,10.415529959494902,160.365278789947,107995.0,8.524876151673688,2.1429884954011422,"(10.292, 10.726]",高收入组,1,1
Australia,AUS,2024,61480.670710531,11.026478107003093,47.1453811065195,27196812.0,14.219768846436855,2.654633168718138,"(10.726, 11.713]",高收入组,1,0
Austria,AUT,2024,45958.8250071261,10.735501166081626,108.825777834405,9177982.0,6.141617623569102,1.815088164067799,"(10.726, 11.713]",高收入组,1,1
Azerbaijan,AZE,2024,5871.14373251952,8.677804737542662,82.6898691594703,10202830.0,3.903832564102313,1.361958779337652,"(8.434, 8.801]",中低收入组,0,1
"Bahamas, The",BHS,2024,33968.2032187918,10.433180166579163,79.2424586933455,401283.0,7.649661211663589,2.034661360800741,"(10.292, 10.726]",高收入组,1,0
Bahrain,BHR,2024,25812.4504577306,10.158612230388446,157.818492147586,1588670.0,24.551011852681803,3.200753069386359,"(9.751, 10.292]",高收入组,1,1
Bangladesh,BGD,2024,1941.27874360025,7.571102181101636,26.7780758040478,173562364.0,0.6240862218262941,-0.4714667441544576,"(7.445, 8.152]",低收入组,0,0
Belarus,BLR,2024,6792.13183495565,8.823520138131965,131.91792910245,9132629.0,6.111976737476142,1.8102502458157692,"(8.801, 9.234]",中高收入组,1,1
Belgium,BEL,2024,45045.6601021398,10.715431923260326,158.931826338067,11858610.0,7.206257731724039,1.974949777953864,"(10.292, 10.726]",高收入组,1,1
Belize,BLZ,2024,6290.49294452749,8.746794716182972,108.972446521476,417072.0,1.9086081060344497,0.6463742361021566,"(8.434, 8.801]",中低收入组,0,1
Benin,BEN,2024,1324.78312597434,7.189004046513602,40.6398022401523,14462724.0,0.4194465026090521,-0.8688192877647618,"(7.003, 7.445]",低收入组,0,0
Bermuda,BMU,2024,122117.603586776,11.712739823226661,75.2902443250736,64636.0,8.509205396373538,2.1411485652966804,"(10.726, 11.713]",高收入组,1,0
Bolivia,BOL,2024,3045.61476602385,8.021458053370118,46.9778716148403,12413315.0,2.312731450059875,0.8384292719085008,"(7.445, 8.152]",中低收入组,0,0
Bosnia and Herzegovina,BIH,2024,6730.26828824205,8.81437028636754,95.1562957108171,3164253.0,6.139184192920099,1.8146918657287794,"(8.801, 9.234]",中高收入组,1,1
Botswana,BWA,2024,6937.33180990267,8.844672514143175,71.1052579052124,2521139.0,2.9596142854479663,1.085058950874736,"(8.801, 9.234]",中高收入组,1,0
Brazil,BRA,2024,9566.74408628371,9.166048205689753,35.5845239385389,211998573.0,2.2783717039453846,0.8234610228928558,"(8.801, 9.234]",中高收入组,1,0
Brunei Darussalam,BRN,2024,29563.8682753082,10.2943082283174,132.587439642245,462721.0,26.04693324919336,3.2599000357103822,"(10.292, 10.726]",高收入组,1,1
Bulgaria,BGR,2024,10126.8980075708,9.222950331944627,110.22631455921,6441421.0,4.909137906061411,1.5910983471770328,"(8.801, 9.234]",中高收入组,1,1
Burkina Faso,BFA,2024,763.833733522408,6.638350139202915,60.5024222912348,23548781.0,0.27634818974281516,-1.2860936513202488,"(5.965, 7.003]",低收入组,0,0
Cabo Verde,CPV,2024,4448.96609078891,8.400427009016806,96.5053536678629,524877.0,1.1312859965287105,0.12335503566162576,"(8.152, 8.434]",中低收入组,0,1
Cambodia,KHM,2024,2182.71843902341,7.688326369314091,143.447009703011,17638801.0,1.240599630326347,0.21559483557710565,"(7.445, 8.152]",低收入组,0,1
Cameroon,CMR,2024,1480.73097431993,7.3002911463964475,34.4031785915423,29123744.0,0.33071239054978646,-1.1065061920525396,"(7.003, 7.445]",低收入组,0,0
Canada,CAN,2024,44413.3983847404,10.70129646832037,65.1499212653783,41288599.0,12.917369756237067,2.5585728983907727,"(10.292, 10.726]",高收入组,1,0
Central African Republic,CAF,2024,389.938307964229,5.965988541904067,46.4318999802251,5330690.0,0.07403938326933286,-2.6031581210071986,"(5.965, 7.003]",低收入组,0,0
Chad,TCD,2024,849.707321000625,6.744891961955225,47.8679892951699,20299123.0,0.13948390775305908,-1.9698060409836975,"(5.965, 7.003]",低收入组,0,0
Chile,CHL,2024,14579.4001071307,9.587364859800584,63.859857248066,19764771.0,3.9831245198843943,1.3820665665489955,"(9.234, 9.751]",中高收入组,1,0
China,CHN,2024,13121.6769905565,9.482020873732049,37.1984201388065,1408975000.0,8.721969516847354,2.1658450744416804,"(9.234, 9.751]",中高收入组,1,0
Colombia,COL,2024,6863.59563194342,8.833986728002298,37.0254687077888,52886363.0,1.752046817815776,0.5607847146547491,"(8.801, 9.234]",中高收入组,1,0
Comoros,COM,2024,1401.88898411553,7.245575880518901,44.3731767499027,866628.0,0.6365476305865954,-0.4516960317552374,"(7.003, 7.445]",低收入组,0,0
"Congo, Dem. Rep.",COD,2024,554.244129980766,6.317605257517045,100.554088317275,109276265.0,0.0540323280631892,-2.918172743711126,"(5.965, 7.003]",低收入组,0,1
"Congo, Rep.",COG,2024,1679.58061097707,7.426299404909798,93.1881220839752,6332961.0,1.3958352183125713,0.3334929589150502,"(7.003, 7.445]",低收入组,0,1
Costa Rica,CRI,2024,14866.5823676109,9.606871178983896,71.3310137687617,5129910.0,1.7077202134150502,0.5351592724721747,"(9.234, 9.751]",中高收入组,1,0
Cote d'Ivoire,CIV,2024,2395.67689089222,7.781421096590956,51.2640379409119,31934230.0,0.4643476608015913,-0.7671217383487935,"(7.445, 8.152]",中低收入组,0,0
Croatia,HRV,2024,17854.2091012685,9.789994563403026,104.912326073253,3866200.0,4.77596865138896,1.5635968122892283,"(9.751, 10.292]",中高收入组,1,1
Cuba,CUB,2024,7381.39774048869,8.906718295391586,124.863238865053,10979783.0,2.2259305124700552,0.8001750360453838,"(8.801, 9.234]",中高收入组,1,1
Cyprus,CYP,2024,32617.216796875,10.392595550550665,190.40287092076,1358282.0,5.373941493739886,1.6815616232229622,"(10.292, 10.726]",高收入组,1,1
Czechia,CZE,2024,20445.432830127,9.925514803038189,131.484981069952,10905028.0,6.934691043434277,1.936536502440481,"(9.751, 10.292]",中高收入组,1,1
Denmark,DNK,2024,60772.8624276041,11.014898626662925,131.765030975207,5976992.0,4.746394507471317,1.557385278762764,"(10.726, 11.713]",高收入组,1,1
Djibouti,DJI,2024,3290.42482052598,8.098771960203464,241.237463098287,1168722.0,0.4826502795361087,-0.7284629465182852,"(7.445, 8.152]",中低收入组,0,1
Dominican Republic,DOM,2024,9168.45418897141,9.123523978409294,51.7835143952326,11427557.0,2.8992039155875573,1.0644361874407895,"(8.801, 9.234]",中高收入组,1,0
Ecuador,ECU,2024,5999.39391066593,8.699413728218833,57.2031395531255,18135478.0,2.5353369787110105,0.9303265586666684,"(8.434, 8.801]",中低收入组,0,0
"Egypt, Arab Rep.",EGY,2024,4137.60929232898,8.327873434400853,39.6007520873733,116538258.0,2.2170218126994827,0.7961647694218053,"(8.152, 8.434]",中低收入组,0,0
El Salvador,SLV,2024,4585.22599757795,8.430594674114415,84.6596461582312,6338193.0,1.4155913207439408,0.34754733832029144,"(8.152, 8.434]",中低收入组,0,1
Equatorial Guinea,GNQ,2024,5041.94038551173,8.52554628409838,60.5414510975907,1892516.0,3.7042497923399327,1.309480753046756,"(8.434, 8.801]",中低收入组,0,0
Estonia,EST,2024,20078.1397620993,9.907386928184476,151.037702410455,1372341.0,6.052997760760627,1.8005536469707122,"(9.751, 10.292]",中高收入组,1,1
