"收入分箱","人均CO2均值","log人均GDP均值"
"[5.97,7]",0.180142514707466,6.55085500907999
"(7,7.45]",0.887335105738297,7.22218034018792
"(7.45,8.15]",1.15076322780573,7.76792409169632
"(8.15,8.43]",2.15201224957058,8.31635566413625
"(8.43,8.8]",4.04311189192521,8.66296482148595
"(8.8,9.23]",4.63287782870309,8.96688320419058
"(9.23,9.75]",5.60820832730705,9.51017095040966
"(9.75,10.3]",7.95525848503944,9.96454134438769
"(10.3,10.7]",7.92312043667427,10.5564672311102
"(10.7,11.7]",7.68251798325178,11.1236104818679
