收入分箱,人均CO2均值,log人均GDP均值
"(5.965, 7.003]",0.1801425147074658,6.5508550090799895
"(7.003, 7.445]",0.8873351057382969,7.222180340187922
"(7.445, 8.152]",1.1507632278057296,7.767924091696323
"(8.152, 8.434]",2.152012249570577,8.316355664136253
"(8.434, 8.801]",4.043111891925209,8.662964821485948
"(8.801, 9.234]",4.632877828703089,8.966883204190584
"(9.234, 9.751]",5.608208327307053,9.510170950409659
"(9.751, 10.292]",7.95525848503944,9.964541344387694
"(10.292, 10.726]",7.923120436674269,10.556467231110156
"(10.726, 11.713]",7.682517983251778,11.123610481867921
