"household_id","person_order","age","female","employed","bachelor","personal_income","log_income"
"2023GQ0000030",1,35,0,0,0,0,0
"2023GQ0000033",1,60,0,0,1,2700,7.90137735379262
"2023GQ0000125",1,28,0,0,0,65000,11.0821579333748
"2023GQ0000168",1,58,1,0,0,9600,9.16962253869762
"2023GQ0000209",1,34,0,0,0,0,0
"2023GQ0000240",1,63,0,0,0,15600,9.65509029374725
"2023GQ0000264",1,44,0,0,0,16800,9.7291936874294
"2023GQ0000283",1,47,0,1,1,171500,12.0523443764749
"2023GQ0000303",1,60,1,0,0,360,5.88887795833288
"2023GQ0000346",1,31,0,0,0,0,0
"2023GQ0000357",1,40,0,1,0,70000,11.1562648066437
"2023GQ0000370",1,57,0,0,0,0,0
"2023GQ0000381",1,31,0,0,0,12000,9.39274525863144
"2023GQ0000383",1,34,0,0,0,590,6.3818160174061
"2023GQ0000385",1,35,0,1,0,45000,10.7144399907278
"2023GQ0000422",1,35,0,1,0,40000,10.5966597327836
"2023GQ0000433",1,43,1,0,0,6300,8.74846362994206
"2023GQ0000446",1,41,0,0,0,0,0
"2023GQ0000453",1,35,1,1,0,34700,10.4545237839635
"2023GQ0000454",1,63,0,0,0,13200,9.48804786328076
"2023GQ0000475",1,28,0,0,0,0,0
"2023GQ0000478",1,61,0,0,0,12000,9.39274525863144
"2023GQ0000550",1,27,1,0,0,12000,9.39274525863144
"2023GQ0000563",1,56,0,0,0,0,0
"2023GQ0000591",1,34,0,0,0,60000,11.002116507732
"2023GQ0000593",1,53,1,0,0,5000,8.5173931714189
"2023GQ0000598",1,45,0,0,0,0,0
"2023GQ0000624",1,59,1,0,0,17100,9.74689222031305
"2023GQ0000627",1,39,0,0,0,110,4.70953020131233
"2023GQ0000629",1,56,1,0,0,26000,10.1658902778025
"2023GQ0000637",1,27,0,0,0,0,0
"2023GQ0000664",1,52,0,0,0,0,0
"2023GQ0000675",1,64,0,0,1,0,0
"2023GQ0000735",1,35,1,1,0,80000,11.2897944135779
"2023GQ0000751",1,34,0,1,0,10800,9.28739400141847
"2023GQ0000758",1,29,0,0,0,0,0
"2023GQ0000764",1,33,0,0,0,35000,10.463131911492
"2023GQ0000802",1,40,0,0,0,12500,9.43356392009056
"2023GQ0000803",1,30,0,1,1,41000,10.6213517356329
"2023GQ0000805",1,39,0,0,0,0,0
"2023GQ0000817",1,41,1,0,0,13600,9.51789859843275
"2023GQ0000818",1,34,0,0,0,500,6.21660610108486
"2023GQ0000841",1,47,1,0,0,0,0
"2023GQ0000863",1,28,0,0,0,70000,11.1562648066437
"2023GQ0000866",1,41,0,0,0,0,0
"2023GQ0000880",1,63,1,1,0,17700,9.78137641414116
"2023GQ0000901",1,62,0,0,0,650,6.47850964220857
"2023GQ0000902",1,38,0,0,0,12500,9.43356392009056
"2023GQ0000917",1,27,0,0,0,0,0
"2023GQ0000923",1,44,0,0,0,0,0
"2023GQ0000937",1,27,1,1,1,30050,10.3106512172799
"2023GQ0000944",1,51,1,0,0,0,0
"2023GQ0000965",1,39,1,1,0,18700,9.83633227734872
"2023GQ0000981",1,26,0,0,0,50000,10.8197982842103
"2023GQ0000986",1,36,0,0,0,0,0
"2023GQ0001049",1,56,1,0,0,26000,10.1658902778025
"2023GQ0001054",1,42,0,0,0,59500,10.9937483981152
"2023GQ0001065",1,29,0,1,0,38000,10.5453677541517
"2023GQ0001083",1,36,0,0,0,0,0
"2023GQ0001163",1,28,0,1,1,34300,10.442929787248
"2023GQ0001172",1,34,0,0,0,0,0
"2023GQ0001174",1,27,1,0,1,0,0
"2023GQ0001210",1,38,1,0,0,6300,8.74846362994206
"2023GQ0001258",1,47,0,0,1,134400,11.8085831475197
"2023GQ0001326",1,41,0,0,0,0,0
