"state","year","income_pc_thousand","unemployment_rate","income_dm","unemp_dm"
"California",2015,54.562,6.21666666666667,-14.9988,0.544166666666666
"California",2016,56.653,5.51666666666667,-12.9078,-0.155833333333334
"California",2017,59.342,4.83333333333333,-10.2188,-0.839166666666667
"California",2018,62.167,4.25833333333333,-7.3938,-1.41416666666667
"California",2019,65.254,4.09166666666667,-4.3068,-1.58083333333333
"California",2020,71.422,10.1666666666667,1.8612,4.49416666666667
"California",2021,76.447,7.35,6.8862,1.6775
"California",2022,78.822,4.28333333333333,9.2612,-1.38916666666667
"California",2023,82.501,4.71666666666667,12.9402,-0.955833333333334
"California",2024,88.438,5.29166666666667,18.8772,-0.380833333333333
