"模型","项","估计值","标准误","t统计量","p值","自由度"
"普通OLS","(Intercept)",8.69699269263822,0.0104173113287968,834.859631064009,0,203335
"普通OLS","bachelor",1.75546178960868,0.0162467278520092,108.050175124438,0,203335
"HC0稳健","(Intercept)",8.69699269263822,0.011358675462716,765.669617129694,0,203335
"HC0稳健","bachelor",1.75546178960868,0.0155690988312331,112.75294791546,0,203335
"按家庭聚类","(Intercept)",8.69699269263822,0.0112769495894793,771.218548387585,0,113779
"按家庭聚类","bachelor",1.75546178960868,0.0154335687682562,113.743089234119,0,113779
"年龄：普通OLS","(Intercept)",9.4187162092022,0.00822031025872606,1145.78597556023,0,203335
"年龄：普通OLS","age_centered",-0.000256012789449602,0.000707080584226329,-0.36207017299128,0.717299968394414,203335
"年龄：HC0稳健","(Intercept)",9.4187162092022,0.00822026983160029,1145.79161051318,0,203335
"年龄：HC0稳健","age_centered",-0.000256012789449602,0.000696229486247351,-0.367713224599982,0.713087461338342,203335
"年龄：按家庭聚类","(Intercept)",9.4187162092022,0.00828297533455843,1137.11750050796,0,113779
"年龄：按家庭聚类","age_centered",-0.000256012789449602,0.000697526879219318,-0.367029281704721,0.713597858865406,113779
"本科+年龄+性别+就业：按家庭聚类","(Intercept)",5.17775675988927,0.0223662970160375,231.498166915007,0,113779
"本科+年龄+性别+就业：按家庭聚类","bachelor",0.91842709539673,0.0114388184824158,80.2903811096024,0,113779
"本科+年龄+性别+就业：按家庭聚类","age_centered",0.0281459867651464,0.000533165788322808,52.7903090963243,0,113779
"本科+年龄+性别+就业：按家庭聚类","female",-0.716827019405614,0.0113619519601597,-63.090129400225,0,113779
"本科+年龄+性别+就业：按家庭聚类","employed",5.71532521329425,0.0217438544407254,262.847841852255,0,113779
