模型,项,估计值,标准误,t统计量,p值,自由度
普通OLS,截距,8.696992692637947,0.010417311328798036,834.859631063884,0.0,203335
普通OLS,本科及以上,1.7554617896081777,0.016246727852005104,108.05017512443442,0.0,203335
HC0稳健,截距,8.696992692637947,0.011358675462724899,765.6696171290711,0.0,203335
HC0稳健,本科及以上,1.7554617896081777,0.01556909883123672,112.75294791540185,0.0,203335
按家庭聚类,截距,8.696992692637947,0.011276949589487563,771.2185483869977,0.0,113779
按家庭聚类,本科及以上,1.7554617896081777,0.015433568768259567,113.74308923406183,0.0,113779
年龄：普通OLS,截距,9.418716209202373,0.008220310258725896,1145.785975560273,0.0,203335
年龄：普通OLS,年龄,-0.0002560127894499965,0.0007070805842262835,-0.36207017299186084,0.7172999683411581,203335
年龄：HC0稳健,截距,9.418716209202373,0.008220269831600263,1145.7916105132044,0.0,203335
年龄：HC0稳健,年龄,-0.0002560127894499965,0.0006962294862472869,-0.3677132246005821,0.7130874612842864,203335
年龄：按家庭聚类,截距,9.418716209202373,0.008282975334558422,1137.117500507986,0.0,113779
年龄：按家庭聚类,年龄,-0.0002560127894499965,0.0006975268792192543,-0.3670292817053201,0.7135978588495617,113779
本科+年龄+性别+就业：按家庭聚类,截距,5.177756759883799,0.02236629701609073,231.49816691421134,0.0,113779
本科+年龄+性别+就业：按家庭聚类,本科及以上,0.918427095397709,0.011438818482414728,80.29038110969566,0.0,113779
本科+年龄+性别+就业：按家庭聚类,年龄,0.02814598676514148,0.0005331657883229765,52.7903090962983,0.0,113779
本科+年龄+性别+就业：按家庭聚类,女性,-0.7168270194057587,0.011361951960161307,-63.090129400228676,0.0,113779
本科+年龄+性别+就业：按家庭聚类,就业,5.7153252132940375,0.0217438544407526,262.84784185191677,0.0,113779
