"age","female","employed","bachelor","personal_income","high_income","ln_age"
35,0,0,0,0,0,3.55534806148941
60,0,0,1,2700,0,4.0943445622221
28,0,0,0,65000,0,3.3322045101752
58,1,0,0,9600,0,4.06044301054642
34,0,0,0,0,0,3.52636052461616
63,0,0,0,15600,0,4.14313472639153
44,0,0,0,16800,0,3.78418963391826
47,0,1,1,171500,1,3.85014760171006
60,1,0,0,360,0,4.0943445622221
31,0,0,0,0,0,3.43398720448515
40,0,1,0,70000,0,3.68887945411394
57,0,0,0,0,0,4.04305126783455
31,0,0,0,12000,0,3.43398720448515
34,0,0,0,590,0,3.52636052461616
35,0,1,0,45000,0,3.55534806148941
35,0,1,0,40000,0,3.55534806148941
43,1,0,0,6300,0,3.76120011569356
41,0,0,0,0,0,3.71357206670431
35,1,1,0,34700,0,3.55534806148941
63,0,0,0,13200,0,4.14313472639153
28,0,0,0,0,0,3.3322045101752
61,0,0,0,12000,0,4.11087386417331
27,1,0,0,12000,0,3.29583686600433
56,0,0,0,0,0,4.02535169073515
34,0,0,0,60000,0,3.52636052461616
53,1,0,0,5000,0,3.97029191355212
45,0,0,0,0,0,3.80666248977032
59,1,0,0,17100,0,4.07753744390572
39,0,0,0,110,0,3.66356164612965
56,1,0,0,26000,0,4.02535169073515
27,0,0,0,0,0,3.29583686600433
52,0,0,0,0,0,3.95124371858143
64,0,0,1,0,0,4.15888308335967
35,1,1,0,80000,0,3.55534806148941
34,0,1,0,10800,0,3.52636052461616
29,0,0,0,0,0,3.36729582998647
33,0,0,0,35000,0,3.49650756146648
40,0,0,0,12500,0,3.68887945411394
30,0,1,1,41000,0,3.40119738166216
39,0,0,0,0,0,3.66356164612965
41,1,0,0,13600,0,3.71357206670431
34,0,0,0,500,0,3.52636052461616
47,1,0,0,0,0,3.85014760171006
28,0,0,0,70000,0,3.3322045101752
41,0,0,0,0,0,3.71357206670431
63,1,1,0,17700,0,4.14313472639153
62,0,0,0,650,0,4.12713438504509
38,0,0,0,12500,0,3.63758615972639
27,0,0,0,0,0,3.29583686600433
44,0,0,0,0,0,3.78418963391826
27,1,1,1,30050,0,3.29583686600433
51,1,0,0,0,0,3.93182563272433
39,1,1,0,18700,0,3.66356164612965
26,0,0,0,50000,0,3.25809653802148
36,0,0,0,0,0,3.58351893845611
56,1,0,0,26000,0,4.02535169073515
42,0,0,0,59500,0,3.73766961828337
29,0,1,0,38000,0,3.36729582998647
36,0,0,0,0,0,3.58351893845611
28,0,1,1,34300,0,3.3322045101752
34,0,0,0,0,0,3.52636052461616
27,1,0,1,0,0,3.29583686600433
38,1,0,0,6300,0,3.63758615972639
47,0,0,1,134400,1,3.85014760171006
41,0,0,0,0,0,3.71357206670431
28,1,0,0,1360,0,3.3322045101752
26,0,0,1,27000,0,3.25809653802148
44,0,0,0,0,0,3.78418963391826
52,1,0,0,14800,0,3.95124371858143
36,0,0,0,15000,0,3.58351893845611
52,1,0,0,18400,0,3.95124371858143
26,0,0,1,25900,0,3.25809653802148
44,0,0,0,3000,0,3.78418963391826
35,0,0,0,0,0,3.55534806148941
49,0,0,0,0,0,3.89182029811063
41,1,0,0,0,0,3.71357206670431
53,1,0,0,0,0,3.97029191355212
48,1,0,0,22600,0,3.87120101090789
57,0,0,0,0,0,4.04305126783455
30,0,0,0,13200,0,3.40119738166216
60,1,1,0,13700,0,4.0943445622221
53,0,1,1,20000,0,3.97029191355212
31,0,0,0,0,0,3.43398720448515
26,0,0,0,0,0,3.25809653802148
31,1,1,0,109350,1,3.43398720448515
34,0,0,0,2000,0,3.52636052461616
32,0,0,0,0,0,3.46573590279973
28,0,0,0,11200,0,3.3322045101752
27,0,0,0,31100,0,3.29583686600433
27,0,0,0,0,0,3.29583686600433
49,0,1,0,2000,0,3.89182029811063
63,0,0,0,13900,0,4.14313472639153
47,1,0,0,14300,0,3.85014760171006
41,0,0,0,0,0,3.71357206670431
33,1,0,0,0,0,3.49650756146648
31,0,0,0,47300,0,3.43398720448515
40,0,0,0,0,0,3.68887945411394
44,0,0,0,0,0,3.78418963391826
60,1,1,0,95000,1,4.0943445622221
44,0,0,0,25000,0,3.78418963391826
44,0,0,0,4600,0,3.78418963391826
52,0,0,1,15600,0,3.95124371858143
28,0,0,0,18000,0,3.3322045101752
31,0,0,0,0,0,3.43398720448515
29,0,0,0,0,0,3.36729582998647
56,0,0,1,0,0,4.02535169073515
28,1,1,0,9300,0,3.3322045101752
57,1,0,0,0,0,4.04305126783455
25,0,0,0,28020,0,3.2188758248682
29,0,1,0,38000,0,3.36729582998647
47,0,0,0,0,0,3.85014760171006
37,0,0,0,17400,0,3.61091791264422
63,1,0,1,0,0,4.14313472639153
51,0,0,0,0,0,3.93182563272433
48,1,0,0,700,0,3.87120101090789
59,1,0,0,2300,0,4.07753744390572
28,0,0,0,0,0,3.3322045101752
42,1,0,0,2600,0,3.73766961828337
25,1,0,0,3000,0,3.2188758248682
64,1,0,0,2600,0,4.15888308335967
57,1,0,0,0,0,4.04305126783455
32,0,0,1,1400,0,3.46573590279973
42,1,0,0,13600,0,3.73766961828337
59,0,0,0,195000,1,4.07753744390572
31,1,0,0,0,0,3.43398720448515
35,0,0,0,0,0,3.55534806148941
44,0,0,0,2700,0,3.78418963391826
28,0,0,0,0,0,3.3322045101752
59,0,0,0,3600,0,4.07753744390572
64,0,0,0,480,0,4.15888308335967
47,0,1,1,101000,1,3.85014760171006
30,1,0,0,25000,0,3.40119738166216
53,0,0,0,4000,0,3.97029191355212
26,0,0,0,0,0,3.25809653802148
60,0,0,0,0,0,4.0943445622221
52,0,0,1,0,0,3.95124371858143
49,0,0,0,22200,0,3.89182029811063
53,0,0,0,12000,0,3.97029191355212
48,1,0,0,22600,0,3.87120101090789
33,1,0,0,0,0,3.49650756146648
40,0,0,0,0,0,3.68887945411394
62,0,0,0,13200,0,4.12713438504509
29,0,0,0,0,0,3.36729582998647
25,0,0,0,0,0,3.2188758248682
32,0,0,0,41800,0,3.46573590279973
60,0,0,0,31000,0,4.0943445622221
62,1,0,0,25900,0,4.12713438504509
52,0,0,0,0,0,3.95124371858143
33,1,1,0,9540,0,3.49650756146648
27,0,0,0,0,0,3.29583686600433
30,1,0,0,480,0,3.40119738166216
32,0,0,0,0,0,3.46573590279973
38,0,1,0,55400,0,3.63758615972639
64,0,0,0,0,0,4.15888308335967
54,0,0,0,0,0,3.98898404656427
37,0,0,0,7200,0,3.61091791264422
28,0,0,0,28000,0,3.3322045101752
36,0,0,0,170,0,3.58351893845611
46,0,0,0,0,0,3.8286413964891
26,1,1,1,64840,0,3.25809653802148
46,0,0,0,9000,0,3.8286413964891
40,0,0,0,600,0,3.68887945411394
32,0,0,0,0,0,3.46573590279973
31,0,0,0,0,0,3.43398720448515
57,0,0,0,13000,0,4.04305126783455
58,1,0,1,14900,0,4.06044301054642
40,1,0,1,400350,1,3.68887945411394
28,0,0,0,91000,1,3.3322045101752
63,1,0,0,17900,0,4.14313472639153
30,0,0,0,170,0,3.40119738166216
53,1,0,0,0,0,3.97029191355212
63,0,0,0,12400,0,4.14313472639153
36,1,0,0,0,0,3.58351893845611
35,1,0,0,13800,0,3.55534806148941
37,0,0,0,0,0,3.61091791264422
62,0,0,0,2700,0,4.12713438504509
48,0,0,0,3100,0,3.87120101090789
34,1,0,0,18000,0,3.52636052461616
56,1,0,0,19000,0,4.02535169073515
63,0,0,0,11000,0,4.14313472639153
25,0,1,1,72000,0,3.2188758248682
41,0,0,0,0,0,3.71357206670431
39,0,0,0,0,0,3.66356164612965
63,1,0,0,11400,0,4.14313472639153
28,0,0,1,141000,1,3.3322045101752
56,1,0,1,14400,0,4.02535169073515
46,0,0,0,1200,0,3.8286413964891
42,0,0,0,0,0,3.73766961828337
56,1,0,0,0,0,4.02535169073515
29,0,0,0,0,0,3.36729582998647
55,0,0,0,0,0,4.00733318523247
38,1,0,1,0,0,3.63758615972639
57,1,0,0,0,0,4.04305126783455
34,0,0,0,15300,0,3.52636052461616
51,1,0,0,0,0,3.93182563272433
38,0,0,0,0,0,3.63758615972639
34,1,0,0,4160,0,3.52636052461616
38,0,0,0,0,0,3.63758615972639
62,0,0,0,0,0,4.12713438504509
36,0,0,0,12300,0,3.58351893845611
48,0,0,0,0,0,3.87120101090789
55,1,0,1,15000,0,4.00733318523247
41,1,0,0,5700,0,3.71357206670431
64,1,1,1,88000,0,4.15888308335967
63,0,0,0,0,0,4.14313472639153
64,1,1,1,15000,0,4.15888308335967
31,1,1,0,12040,0,3.43398720448515
56,0,0,0,0,0,4.02535169073515
26,0,0,0,0,0,3.25809653802148
38,0,0,0,0,0,3.63758615972639
36,0,0,0,0,0,3.58351893845611
44,0,1,1,122400,1,3.78418963391826
28,1,0,0,0,0,3.3322045101752
46,0,0,0,0,0,3.8286413964891
50,0,0,0,9000,0,3.91202300542815
25,0,0,0,88000,0,3.2188758248682
26,0,0,0,0,0,3.25809653802148
58,1,0,1,14900,0,4.06044301054642
46,1,0,0,4800,0,3.8286413964891
36,0,0,0,6000,0,3.58351893845611
32,0,0,0,2300,0,3.46573590279973
36,0,0,0,0,0,3.58351893845611
37,0,0,0,0,0,3.61091791264422
26,0,1,1,55000,0,3.25809653802148
42,0,0,0,0,0,3.73766961828337
56,0,0,1,0,0,4.02535169073515
46,0,0,0,170,0,3.8286413964891
34,0,0,0,0,0,3.52636052461616
34,1,0,0,2600,0,3.52636052461616
51,0,0,0,170,0,3.93182563272433
55,0,0,0,0,0,4.00733318523247
39,1,0,0,0,0,3.66356164612965
30,1,0,0,0,0,3.40119738166216
52,1,0,1,15600,0,3.95124371858143
