"default","pay_delay","male","age","limit_bal_10k","bill_ratio","pred","pred_lpm"
1,2,0,24,2,0.19565,0.523251748249415,0.459732683378999
1,-1,0,26,12,0.02235,0.104109238885836,0.101133233369003
0,0,0,34,9,0.324877777777778,0.208594346190366,0.233624204958559
0,0,0,37,5,0.9398,0.225797957013368,0.248056819569014
0,-1,1,57,5,0.17234,0.161747882206059,0.181982496469686
0,0,1,37,5,1.288,0.244138500536378,0.262755486574649
0,0,1,29,50,0.73593,0.114960358518834,0.14128209273378
0,0,0,23,10,0.11876,0.19008841665884,0.213738047989471
0,0,0,28,14,0.0806071428571429,0.185447834913487,0.212010216455288
0,-2,1,35,2,0,0.0775494280272318,0.0417606359319334
0,0,0,34,20,0.055365,0.176712252489932,0.207036322327213
0,-1,0,51,26,0.0471576923076923,0.100425429466312,0.106996557133368
0,-1,0,41,63,0.0192650793650794,0.0487174858843292,0.00168360943713734
1,1,1,30,7,0.940028571428571,0.368825864570914,0.359339588700128
0,0,1,29,25,0.283548,0.171602959794305,0.201709098714112
0,1,0,23,5,1.01228,0.3398559420854,0.338358396981181
1,0,1,24,2,0.7688,0.23340907321255,0.249361454793346
0,0,1,49,32,0.79151875,0.17828642998563,0.216551494730299
0,1,0,49,36,0,0.266472176261757,0.304719454563455
0,1,0,29,18,0,0.298690677933392,0.316464941178613
0,0,0,39,13,0.295061538461538,0.203615563524685,0.231896373424376
1,-1,0,39,12,0.00263333333333333,0.115338766100424,0.121778505867945
1,2,0,26,7,0.586957142857143,0.504356491356099,0.450823477952
1,-2,0,40,45,0.0122488888888889,0.0343325629472275,-0.0689319919372017
0,0,1,23,9,0.0527111111111111,0.209375056578746,0.23085379523432
0,0,1,23,5,0.9524,0.222005245000494,0.240522116191173
1,1,1,27,6,-0.00181666666666667,0.36699341000867,0.356992375285739
0,0,0,30,5,0.45082,0.215152825232079,0.236940134377276
0,-1,0,47,5,0.013,0.137543173064235,0.15140285061871
0,0,1,26,5,0.30658,0.22662461766375,0.245286409844775
0,-1,0,27,23,0.0723739130434783,0.0871538944754987,0.0761334486221913
1,2,1,33,5,0.61036,0.554478676549711,0.4814729906278
0,0,1,32,10,0.93036,0.219648084820917,0.242729595955913
0,-2,0,54,50,0.021858,0.035359918361613,-0.0587840227497917
0,-2,1,58,50,0.027418,0.0403604507485446,-0.0377329642060204
