age,female,employed,bachelor,personal_income,high_income,ln_age
35,0,0,0,0.0,0,3.5553480614894135
60,0,0,1,2700.0,0,4.0943445622221
28,0,0,0,65000.0,0,3.332204510175204
58,1,0,0,9600.0,0,4.060443010546419
34,0,0,0,0.0,0,3.5263605246161616
63,0,0,0,15600.0,0,4.143134726391533
44,0,0,0,16800.0,0,3.784189633918261
47,0,1,1,171500.0,1,3.8501476017100584
60,1,0,0,360.0,0,4.0943445622221
31,0,0,0,0.0,0,3.4339872044851463
40,0,1,0,70000.0,0,3.6888794541139363
57,0,0,0,0.0,0,4.04305126783455
31,0,0,0,12000.0,0,3.4339872044851463
34,0,0,0,590.0,0,3.5263605246161616
35,0,1,0,45000.0,0,3.5553480614894135
35,0,1,0,40000.0,0,3.5553480614894135
43,1,0,0,6300.0,0,3.7612001156935624
41,0,0,0,0.0,0,3.713572066704308
35,1,1,0,34700.0,0,3.5553480614894135
63,0,0,0,13200.0,0,4.143134726391533
28,0,0,0,0.0,0,3.332204510175204
61,0,0,0,12000.0,0,4.110873864173311
27,1,0,0,12000.0,0,3.295836866004329
56,0,0,0,0.0,0,4.02535169073515
34,0,0,0,60000.0,0,3.5263605246161616
53,1,0,0,5000.0,0,3.970291913552122
45,0,0,0,0.0,0,3.8066624897703196
59,1,0,0,17100.0,0,4.07753744390572
39,0,0,0,110.0,0,3.6635616461296463
56,1,0,0,26000.0,0,4.02535169073515
27,0,0,0,0.0,0,3.295836866004329
52,0,0,0,0.0,0,3.9512437185814275
64,0,0,1,0.0,0,4.1588830833596715
35,1,1,0,80000.0,0,3.5553480614894135
34,0,1,0,10800.0,0,3.5263605246161616
29,0,0,0,0.0,0,3.367295829986474
33,0,0,0,35000.0,0,3.4965075614664802
40,0,0,0,12500.0,0,3.6888794541139363
30,0,1,1,41000.0,0,3.4011973816621555
39,0,0,0,0.0,0,3.6635616461296463
41,1,0,0,13600.0,0,3.713572066704308
34,0,0,0,500.0,0,3.5263605246161616
47,1,0,0,0.0,0,3.8501476017100584
28,0,0,0,70000.0,0,3.332204510175204
41,0,0,0,0.0,0,3.713572066704308
63,1,1,0,17700.0,0,4.143134726391533
62,0,0,0,650.0,0,4.127134385045092
38,0,0,0,12500.0,0,3.6375861597263857
27,0,0,0,0.0,0,3.295836866004329
44,0,0,0,0.0,0,3.784189633918261
27,1,1,1,30050.0,0,3.295836866004329
51,1,0,0,0.0,0,3.9318256327243257
39,1,1,0,18700.0,0,3.6635616461296463
26,0,0,0,50000.0,0,3.258096538021482
36,0,0,0,0.0,0,3.58351893845611
56,1,0,0,26000.0,0,4.02535169073515
42,0,0,0,59500.0,0,3.7376696182833684
29,0,1,0,38000.0,0,3.367295829986474
36,0,0,0,0.0,0,3.58351893845611
28,0,1,1,34300.0,0,3.332204510175204
34,0,0,0,0.0,0,3.5263605246161616
27,1,0,1,0.0,0,3.295836866004329
38,1,0,0,6300.0,0,3.6375861597263857
47,0,0,1,134400.0,1,3.8501476017100584
41,0,0,0,0.0,0,3.713572066704308
28,1,0,0,1360.0,0,3.332204510175204
26,0,0,1,27000.0,0,3.258096538021482
44,0,0,0,0.0,0,3.784189633918261
52,1,0,0,14800.0,0,3.9512437185814275
36,0,0,0,15000.0,0,3.58351893845611
52,1,0,0,18400.0,0,3.9512437185814275
26,0,0,1,25900.0,0,3.258096538021482
44,0,0,0,3000.0,0,3.784189633918261
35,0,0,0,0.0,0,3.5553480614894135
49,0,0,0,0.0,0,3.8918202981106265
41,1,0,0,0.0,0,3.713572066704308
53,1,0,0,0.0,0,3.970291913552122
48,1,0,0,22600.0,0,3.871201010907891
57,0,0,0,0.0,0,4.04305126783455
30,0,0,0,13200.0,0,3.4011973816621555
60,1,1,0,13700.0,0,4.0943445622221
53,0,1,1,20000.0,0,3.970291913552122
31,0,0,0,0.0,0,3.4339872044851463
26,0,0,0,0.0,0,3.258096538021482
31,1,1,0,109350.0,1,3.4339872044851463
34,0,0,0,2000.0,0,3.5263605246161616
32,0,0,0,0.0,0,3.4657359027997265
28,0,0,0,11200.0,0,3.332204510175204
27,0,0,0,31100.0,0,3.295836866004329
27,0,0,0,0.0,0,3.295836866004329
49,0,1,0,2000.0,0,3.8918202981106265
63,0,0,0,13900.0,0,4.143134726391533
47,1,0,0,14300.0,0,3.8501476017100584
41,0,0,0,0.0,0,3.713572066704308
33,1,0,0,0.0,0,3.4965075614664802
31,0,0,0,47300.0,0,3.4339872044851463
40,0,0,0,0.0,0,3.6888794541139363
44,0,0,0,0.0,0,3.784189633918261
60,1,1,0,95000.0,1,4.0943445622221
44,0,0,0,25000.0,0,3.784189633918261
44,0,0,0,4600.0,0,3.784189633918261
52,0,0,1,15600.0,0,3.9512437185814275
28,0,0,0,18000.0,0,3.332204510175204
31,0,0,0,0.0,0,3.4339872044851463
29,0,0,0,0.0,0,3.367295829986474
56,0,0,1,0.0,0,4.02535169073515
28,1,1,0,9300.0,0,3.332204510175204
57,1,0,0,0.0,0,4.04305126783455
25,0,0,0,28020.0,0,3.2188758248682006
29,0,1,0,38000.0,0,3.367295829986474
47,0,0,0,0.0,0,3.8501476017100584
37,0,0,0,17400.0,0,3.6109179126442243
63,1,0,1,0.0,0,4.143134726391533
51,0,0,0,0.0,0,3.9318256327243257
48,1,0,0,700.0,0,3.871201010907891
59,1,0,0,2300.0,0,4.07753744390572
28,0,0,0,0.0,0,3.332204510175204
42,1,0,0,2600.0,0,3.7376696182833684
25,1,0,0,3000.0,0,3.2188758248682006
64,1,0,0,2600.0,0,4.1588830833596715
57,1,0,0,0.0,0,4.04305126783455
32,0,0,1,1400.0,0,3.4657359027997265
42,1,0,0,13600.0,0,3.7376696182833684
59,0,0,0,195000.0,1,4.07753744390572
31,1,0,0,0.0,0,3.4339872044851463
35,0,0,0,0.0,0,3.5553480614894135
