default,pay_delay,male,age,limit_bal_10k,bill_ratio,pred,pred_lpm
1,2,0,24,2.0,0.19565,0.5232517512742018,0.459732683379092
1,-1,0,26,12.0,0.02235,0.10410923755622728,0.10113323336899557
0,0,0,34,9.0,0.32487777777777777,0.20859434530532014,0.23362420495858513
0,0,0,37,5.0,0.9398,0.22579795662053018,0.24805681956904008
0,-1,1,57,5.0,0.17234,0.16174788128096276,0.18198249646968534
0,0,1,37,5.0,1.288,0.24413850029570616,0.2627554865746818
0,0,1,29,50.0,0.73593,0.11496035492752978,0.14128209273381576
0,0,0,23,10.0,0.11876,0.19008841564987078,0.21373804798949733
0,0,0,28,14.0,0.08060714285714286,0.18544783350191377,0.21201021645531484
0,-2,1,35,2.0,0.0,0.07754942718360053,0.04176063593189816
0,0,0,34,20.0,0.055365,0.17671225051254677,0.20703632232724004
0,-1,0,51,26.0,0.04715769230769231,0.10042542732335921,0.10699655713336227
0,-1,0,41,63.0,0.019265079365079363,0.04871748348328836,0.0016836094371336652
1,1,1,30,7.0,0.9400285714285714,0.36882586532588557,0.35933958870019456
0,0,1,29,25.0,0.283548,0.17160295743570153,0.20170909871414552
0,1,0,23,5.0,1.01228,0.3398559428737528,0.3383583969812408
1,0,1,24,2.0,0.7688,0.23340907328689006,0.24936145479337865
0,0,1,49,32.0,0.79151875,0.1782864269059554,0.2165514947303343
0,1,0,49,36.0,0.0,0.2664721726200439,0.30471945456351734
0,1,0,29,18.0,0.0,0.2986906766826801,0.3164649411786737
0,0,0,39,13.0,0.2950615384615385,0.20361556220275467,0.23189637342440264
1,-1,0,39,12.0,0.0026333333333333334,0.11533876469943141,0.12177850586793829
1,2,0,26,7.0,0.5869571428571428,0.5043564934721934,0.4508234779520942
1,-2,0,40,45.0,0.012248888888888889,0.034332561464992015,-0.0689319919372405
0,0,1,23,9.0,0.05271111111111111,0.20937505577382726,0.23085379523435226
0,0,1,23,5.0,0.9524,0.22200524467758292,0.24052211619120503
1,1,1,27,6.0,-0.0018166666666666667,0.36699341090774584,0.35699237528580563
0,0,0,30,5.0,0.45082,0.21515282480488,0.2369401343773017
0,-1,0,47,5.0,0.013,0.1375431720950937,0.15140285061870307
0,0,1,26,5.0,0.30658,0.2266246173573107,0.2452864098448072
0,-1,0,27,23.0,0.07237391304347826,0.08715389268978047,0.07613344862218455
1,2,1,33,5.0,0.61036,0.5544786793132905,0.4814729906279007
0,0,1,32,10.0,0.93036,0.2196480839215253,0.24272959595594557
0,-2,0,54,50.0,0.021858,0.03535991672832445,-0.05878402274982966
0,-2,1,58,50.0,0.027418,0.04036044893672289,-0.03773296420605177
0,-1,1,30,16.0,0.18915625,0.11011305805386763,0.11251597095592077
0,0,1,40,28.0,0.6660821428571428,0.17755950279668367,0.21192693472638058
0,0,0,22,6.0,0.2509,0.20043020303831027,0.22181827106181604
1,1,1,25,5.0,0.0,0.36721877214976417,0.35623325975595066
0,-1,1,31,28.0,0.0017785714285714286,0.09072865536322981,0.08509910596989653
0,0,1,33,36.0,0.6074111111111111,0.14877086767844813,0.18147360762093664
0,0,0,25,7.0,0.9645857142857143,0.20169598004682485,0.22416548447620502
0,0,1,22,1.0,0.1877,0.23358267356730555,0.24860233926352374
0,0,0,37,14.0,0.4250285714285714,0.19778164325636655,0.22630309741612134
0,0,0,30,4.0,0.473175,0.2183221474263549,0.23935721461651488
1,-2,1,29,21.0,0.0,0.0529533984772001,-0.0136924759203568
1,0,0,22,2.0,0.7014,0.21266594861219243,0.2314865920186688
1,0,0,46,15.0,0.029753333333333333,0.20763522622193537,0.23817889813771465
0,-1,1,32,38.0,0.05895,0.07708595767945871,0.06251640146229867
0,0,1,24,2.0,0.87235,0.23340907328689006,0.24936145479337865
1,1,1,42,7.0,0.5291714285714286,0.39387316227864233,0.37839676331460326
0,0,0,43,10.0,0.61559,0.21883967050452457,0.24550000568017843
0,-2,0,49,31.0,0.04343548387096774,0.04762026096675896,-0.020799987627449334
0,1,0,25,18.0,0.2300111111111111,0.2913287294018027,0.31011254964053747
0,2,0,29,15.0,0.30816,0.47367938087037,0.43625112969199076
0,-2,0,45,50.0,0.00381,0.03274145536676573,-0.07307690371063616
0,0,0,34,18.0,0.09103333333333333,0.1822102267450066,0.2118704828056664
0,0,0,34,18.0,0.9771444444444445,0.1822102267450066,0.2118704828056664
0,-1,0,34,20.0,0.007935,0.09700667232537576,0.09450137453156249
0,0,0,29,40.0,1.000335,0.12385495093769894,0.15075422812030592
1,0,0,28,50.0,0.045696,0.10414777633535667,0.12499532784363995
0,0,1,39,7.0,1.0114285714285713,0.24053258025013274,0.26109752186532353
1,2,1,29,5.0,0.49974,0.5457180245423603,0.47512059908976445
1,0,0,46,5.0,0.57436,0.24002459944160784,0.2623497005298466
0,-1,0,51,13.0,0.0007615384615384615,0.12457475196238339,0.13841860024313377
1,-2,1,57,20.0,0.762595,0.06802225556665509,0.033191345085809926
1,2,1,56,1.0,0.2097,0.621755223498382,0.5276675629290367
0,2,0,30,21.0,0.0014285714285714286,0.4480514451729516,0.4233367461412457
0,1,0,29,13.0,-0.0014615384615384616,0.3186042907500985,0.3285503423747397
0,2,1,22,2.0,0.92825,0.5442450847745349,0.47125515461566564
0,-1,1,31,8.0,0.00975,0.1265977437191717,0.13344071075416036
1,2,1,29,32.0,0.182084375,0.42050746618435053,0.40985943263100827
0,-1,0,32,20.0,0.04538,0.09546728294547478,0.09132517876249438
0,1,0,37,29.0,0.0,0.2712862461791691,0.302581841623601
0,-1,1,32,34.0,0.00896470588235294,0.08256944331348323,0.07218472241915141
0,0,1,24,2.0,0.73095,0.23340907328689006,0.24936145479337865
0,-1,1,25,5.0,0.85676,0.12691984325506475,0.1311633641645956
0,-1,0,45,30.0,0.00097,0.08945703011365319,0.08779964886930518
1,0,0,22,3.0,0.9462333333333334,0.20955672308893586,0.22906951177945561
1,1,0,44,24.0,0.0,0.3030510001823256,0.3257839280114054
0,0,0,33,47.0,0.35160425531914896,0.1138799458703529,0.14018705798394981
0,0,0,26,36.0,0.06503055555555555,0.12917286083202228,0.15565825542355652
1,0,1,30,6.0,0.4387333333333333,0.22957013169865892,0.24922172114373023
0,0,0,44,40.0,0.3289875,0.13899354783690873,0.17457569638831677
0,0,0,49,5.0,0.97818,0.2449008850869549,0.2671139941834487
0,0,1,33,16.0,0.812675,0.20247685979950397,0.22981521240520048
1,-1,0,45,36.0,0.0010833333333333333,0.08074263913604762,0.073297167434026
0,0,0,32,16.0,0.0239125,0.18515497197132286,0.2135284475150247
0,0,0,35,13.0,0.6254846153846154,0.19793558719791532,0.22554398188626643
0,2,1,44,2.0,0.42915,0.5919756546131281,0.5061933080754148
1,2,1,53,20.0,0.6909,0.5289018438550641,0.47697874473038393
0,-1,0,39,28.0,0.02687142857142857,0.08818162341859223,0.08310522204052723
0,-2,0,27,10.0,-0.02,0.05741386400470779,-0.004979456063721521
0,-1,0,37,16.0,0.0055,0.10624267391963914,0.1089339891420174
0,0,0,23,6.0,0.7608,0.20185220411210633,0.2234063689463501
0,0,1,35,9.0,0.9302777777777778,0.22749684939620834,0.24991096984876093
0,-1,1,43,36.0,0.011019444444444445,0.08723052797742609,0.08481963867059966
0,0,1,27,15.0,0.5733933333333333,0.19697417882126786,0.22270370533720935
0,0,0,22,5.0,0.37444,0.20343886827765598,0.22423535130102923
1,0,1,38,2.0,0.89865,0.2563047038806465,0.2715948251768554
0,-2,1,32,14.0,0.0048,0.06141606925371623,0.007991379407737725
0,-2,0,30,38.0,-0.0002131578947368421,0.035759093003225224,-0.06789340910808875
0,0,1,63,48.0,0.8793104166666666,0.15409794107342203,0.2001115812864
1,0,0,22,5.0,0.89396,0.20343886827765598,0.22423535130102923
0,2,0,26,6.0,0.94475,0.5090229837972509,0.4532405581913074
0,-1,0,24,7.0,0.07971428571428571,0.1113791945514563,0.11004243879599342
0,-1,0,36,8.0,0.07635,0.12034124254491163,0.12668253317118888
0,-1,1,52,35.0,0.002037142857142857,0.09538294448492578,0.10152959987061934
0,0,1,38,13.0,1.3187538461538462,0.21914972590502535,0.2450069425455103
0,1,1,35,36.0,-0.0002861111111111111,0.2622276640781133,0.2971847511856823
0,0,0,31,33.0,0.32084545454545454,0.1408757835638753,0.17084998556386638
0,0,1,47,5.0,0.26488,0.2608365501015937,0.27863646542002235
0,2,1,41,28.0,0.48454642857142854,0.4651028419947021,0.43858492820226974
0,0,0,24,10.0,0.52128,0.19145461317344661,0.2153261458740314
0,0,1,41,5.0,0.3803,0.2507298518920072,0.269107878112818
1,-1,1,24,3.0,0.6066333333333334,0.13011045550288589,0.1344094267584879
0,-1,1,28,24.0,0.0013583333333333334,0.09477809729480977,0.09000313327314713
1,2,1,26,8.0,0.1753625,0.5251853627636988,0.4631050647185227
0,-1,1,34,40.0,0.04915,0.07570029104068238,0.06085843675294039
0,0,0,38,24.0,0.20939166666666667,0.1710701423870031,0.20372039290852348
1,2,1,37,5.0,0.92008,0.5632056130050066,0.48782538216603694
1,1,1,40,45.0,0.0,0.2389947838977096,0.28337151845543385
0,1,0,48,11.0,0.0,0.3647724660859461,0.3635583626593131
1,2,0,35,31.0,0.983841935483871,0.4131417646729938,0.4071064331717841
0,0,1,27,2.0,0.95575,0.23819308317931873,0.2541257484469808
0,1,1,23,2.0,0.0,0.37616497813636274,0.36030830470452213
0,0,1,52,20.0,0.550755,0.21799005587390866,0.25032075125449477
1,0,1,36,18.0,0.9096444444444445,0.2007401362580307,0.22974534558037626
1,0,1,51,5.0,0.06694,0.2677190460120712,0.28498885695815857
0,3,1,55,6.0,1.0086833333333334,0.7478089024069364,0.6265290116441142
0,1,0,23,3.0,0.13333333333333333,0.348282473318661,0.34319255745966726
0,1,1,41,24.0,0.0003958333333333333,0.3192348100487069,0.33571830136344494
0,0,1,34,42.0,0.6034619047619048,0.13617364251789071,0.16855922407019155
0,0,1,46,33.0,0.6890575757575758,0.17175796288265133,0.20937012083751894
0,0,0,22,3.0,0.9484,0.20955672308893586,0.22906951177945561
0,0,1,34,24.0,0.044475,0.18073273584146515,0.212066668376029
0,0,1,27,15.0,0.11629333333333333,0.19697417882126786,0.22270370533720935
0,0,0,33,21.0,0.03412380952380952,0.17274417530364639,0.20303114420349277
1,-1,0,51,5.0,0.01504,0.14179650222134593,0.15775524215683928
0,0,1,24,5.0,1.01602,0.2235375212011953,0.24211021407573907
1,1,1,47,24.0,0.0,0.33088343843957124,0.3452468886706493
