"模型","项","估计值","标准误","z值","p值"
"违约：单变量logit","(Intercept)",-1.40249113272041,0.0155960905663788,-89.9258135717569,0
"违约：单变量logit","pay_delay",0.737193602633777,0.0142767325151696,51.6360169843121,0
"违约：多变量logit","(Intercept)",-1.46628532089884,0.0595882742093324,-24.6069439055712,1.06450339513206e-133
"违约：多变量logit","pay_delay",0.692152326940463,0.0146487253997157,47.2500035364097,0
"违约：多变量logit","male",0.102069804847644,0.0302062868825376,3.37909142042383,0.000727258197602916
"违约：多变量logit","age",0.00884973618314133,0.00157663482339442,5.61305386119044,1.98786689710325e-08
"违约：多变量logit","limit_bal_10k",-0.0186694381898606,0.00130500348783847,-14.3060446687262,2.00602660495821e-46
"违约：多变量probit","(Intercept)",-0.873460740139945,0.0340557082282375,-25.6479981061064,4.45115558889686e-145
"违约：多变量probit","pay_delay",0.368744568585667,0.00818101255349388,45.0732187702348,0
"违约：多变量probit","male",0.0558104090175398,0.0172429381702019,3.236711079437,0.00120915765176991
"违约：多变量probit","age",0.00534000874056432,0.000907583995062851,5.88376257141304,4.01043041974816e-09
"违约：多变量probit","limit_bal_10k",-0.0102158029268653,0.000719554604487924,-14.1973977557068,9.50779171622876e-46
