模型,项,估计值,标准误,z值,p值
违约：单变量logit,截距,-1.402491133885974,0.01559638990995594,-89.9240876884397,0.0
违约：单变量logit,还款状态,0.7371936038113531,0.01427703759084593,51.63491369414217,0.0
违约：多变量logit,截距,-1.4662853208991018,0.059589945733047725,-24.606253670171093,1.0827679717788787e-133
违约：多变量logit,还款状态,0.6921523332668995,0.014649413744047723,47.24778379258565,0.0
违约：多变量logit,男性,0.10206980579062185,0.030207216499777083,3.3789874612040167,0.0007275332629966659
违约：多变量logit,年龄,0.008849736223524815,0.001576676672073147,5.612904903253524,1.9895795256145644e-08
违约：多变量logit,信用额度（万元）,-0.01866943893808313,0.0013050894029720266,-14.30510346307922,2.0333518811617534e-46
违约：多变量probit,截距,-0.8734619644595516,0.034055484084811384,-25.648202864604478,4.427805635851143e-145
违约：多变量probit,还款状态,0.36874788817334136,0.00818086981788875,45.07441095896875,0.0
违约：多变量probit,男性,0.05581068920616662,0.017242823481554106,3.236748857625977,0.0012089976019074404
违约：多变量probit,年龄,0.005340007460957686,0.0009075782346824863,5.883798505619598,4.009559345302834e-09
违约：多变量probit,信用额度（万元）,-0.010215821148876293,0.0007195483417103847,-14.1975466507129,9.487615575557727e-46
