year,gdp,gdp_trillion,ma,dloggdp,dlogma,dloggdpL1,dlogmaL1
1978,369245353260.872,0.369245353260872,,,,,
1979,397275966892.718,0.397275966892718,,7.316983283861234,,,
1980,428399142252.564,0.42839914225256404,0.42653702815106753,7.542416645214445,,7.316983283861234,
1981,450302166910.072,0.450302166910072,0.46008115842178715,4.986350308354304,7.570372346686227,7.542416645214445,
1982,491096319836.96,0.49109631983696,0.5031701956493879,8.672143985936387,8.95255687278329,4.986350308354304,7.570372346686227
1983,543778042482.387,0.543778042482387,0.5605083656929182,10.190087415155702,10.791569381142097,8.672143985936387,8.95255687278329
1984,626609364483.701,0.6266093644837011,0.6284716562014426,14.178216986687175,11.444676166993872,10.190087415155702,10.791569381142097
1985,710797305027.178,0.710797305027178,0.7039440123729049,12.606398148765408,11.340789563427123,14.178216986687175,11.444676166993872
1986,774307505788.049,0.774307505788049,0.785857265205681,8.558178418003592,11.007635439201024,12.606398148765408,11.340789563427123
1987,864345705902.996,0.864345705902996,0.8640730498954798,11.000372236022926,9.488213421202474,8.558178418003592,11.007635439201024
1988,961347723725.301,0.961347723725301,0.9338170884810303,10.636336747649011,7.762326858607338,11.000372236022926,9.488213421202474
1989,1001785223303.97,1.00178522330397,1.0014885077264197,4.1202731843196005,6.996209767279993,10.636336747649011,7.762326858607338
1990,1041271896195.66,1.04127189619566,1.0783196464858364,3.8659311350325964,7.391654561301664,4.1202731843196005,6.996209767279993
1991,1138752669458.5,1.1387526694585,1.180987929225155,8.949057075279043,9.094736974456197,3.8659311350325964,7.391654561301664
1992,1301589870245.13,1.3015898702451298,1.3205598502698226,13.365298056184471,11.17044593188048,8.949057075279043,9.094736974456197
1993,1482889338698.69,1.4828893386986899,1.4903665571013511,13.040594612681033,12.096632550563413,13.365298056184471,11.17044593188048
1994,1676743149158.28,1.67674314915828,1.6739738090114802,12.286086972473953,11.617822501415986,13.040594612681033,12.096632550563413
1995,1861735071148.11,1.8617350711481102,1.8615504484680552,10.465557665316894,10.620938874698638,12.286086972473953,11.617822501415986
1996,2047465483836.55,2.0474654838365502,2.0481578188719,9.509379203540291,9.55310492642667,10.465557665316894,10.620938874698638
1997,2237626840759.87,2.2376268407598703,2.232918962509412,8.881317927598786,8.636891713506145,9.509379203540291,9.55310492642667
1998,2414864610327.86,2.41486461032786,2.422618762746101,7.622736538906594,8.153940711109797,8.881317927598786,8.636891713506145
1999,2601702759078.63,2.6017027590786297,2.6226112772063135,7.452291445018133,7.932140366547813,7.622736538906594,8.153940711109797
2000,2825096197799.54,2.82509619779954,2.8413891490141023,8.237627832991379,8.012257744544016,7.452291445018133,7.932140366547813
2001,3059936242478.58,3.05993624247858,3.0922913665535665,7.985166361885021,8.46192891153592,8.237627832991379,8.012257744544016
2002,3342778183071.46,3.34277818307146,3.3808104544568454,8.840817262476008,8.92031015007646,7.985166361885021,8.46192891153592
2003,3681006926650.74,3.68100692665074,3.716731414584964,9.638408354515349,9.472916987330038,8.840817262476008,8.92031015007646
2004,4053944733453.66,4.05394473345366,4.117593401217188,9.650407921452953,10.242423672442769,9.638408354515349,9.472916987330038
2005,4518455387849.41,4.51845538784941,4.602458705718477,10.84797917494491,11.132179516802054,9.650407921452953,10.242423672442769
2006,5091154930758.42,5.09115493075842,5.1587268304069385,11.933449965145826,11.409914881205552,10.84797917494491,11.132179516802054
2007,5811552614974.09,5.81155261497409,5.7554734769469444,13.234305991554507,10.946150031007562,11.933449965145826,11.409914881205552
2008,6373544042638.01,6.373544042638009,6.389836993850762,9.230791283520645,10.455744742912998,13.234305991554507,10.946150031007562
2009,6972829250985.1,6.972829250985099,7.046124453603664,8.986538128013422,9.776898428350478,9.230791283520645,10.455744742912998
2010,7711689202853.29,7.71168920285329,7.716212458434498,10.071619526411979,9.084588667568738,8.986538128013422,9.776898428350478
2011,8441318020902.42,8.44131802090242,8.412563039013765,9.040120399336615,8.640255898249194,10.071619526411979,9.084588667568738
2012,9104482675356.36,9.10448267535636,9.121698739949577,7.5628433892305225,8.092986365011967,9.040120399336615,8.640255898249194
2013,9812695262900.89,9.81269526290089,9.830788285216729,7.4910088392513785,7.486307063950193,7.5628433892305225,8.092986365011967
2014,10544908798424.0,10.544908798424,10.553309130208904,7.196618278078404,7.092034964587057,7.4910088392513785,7.486307063950193
2015,11280814787468.9,11.2808147874689,11.303707999374335,6.7460311297647735,6.869134105746255,7.196618278078404,7.092034964587057
2016,12045152668727.3,12.045152668727301,12.086554303957488,6.555883445683364,6.696280676789712,6.7460311297647735,6.869134105746255
2017,12875216222853.4,12.8752162228534,12.898894081131512,6.664192956709769,6.504795735066082,6.555883445683364,6.696280676789712
2018,13745158275136.7,13.7451582751367,13.6706168694462,6.538239624044095,5.8107197952434575,6.664192956709769,6.504795735066082
2019,14579283528148.4,14.5792835281484,14.445524398932848,5.891494798525088,5.513586090430422,6.538239624044095,5.8107197952434575
2020,14920466234565.3,14.920466234565302,15.231232355003725,2.313225861037438,5.296344351293669,5.891494798525088,5.513586090430422
2021,16199162892908.6,16.1991628929086,15.980477332439976,8.222572437310305,4.801973059035802,2.313225861037438,5.296344351293669
2022,16706875253648.5,16.7068752536485,16.80546376296275,3.0860758910137065,5.033624701345474,8.222572437310305,4.801973059035802
2023,17611526369126.6,17.6115263691266,,5.273326848650228,,3.0860758910137065,5.033624701345474
2024,18488114837769.3,18.488114837769302,,4.857448940622078,,5.273326848650228,
