year,st_case,state,statename,age,rv,Z,alcohol_involved,male,fatal_injury
2018,10006,1,Alabama,23,2,1,0,1,0
2018,10007,1,Alabama,19,-2,0,0,0,1
2018,10010,1,Alabama,21,0,1,0,1,0
2018,10013,1,Alabama,20,-1,0,0,1,0
2018,10058,1,Alabama,19,-2,0,1,1,0
2018,10059,1,Alabama,24,3,1,0,1,0
2018,10061,1,Alabama,23,2,1,0,1,1
2018,10070,1,Alabama,18,-3,0,0,1,1
2018,10081,1,Alabama,24,3,1,1,1,0
2018,10084,1,Alabama,18,-3,0,0,1,1
2018,10084,1,Alabama,22,1,1,0,1,0
2018,10086,1,Alabama,18,-3,0,0,1,1
2018,10088,1,Alabama,24,3,1,1,1,1
2018,10090,1,Alabama,18,-3,0,0,1,0
2018,10107,1,Alabama,24,3,1,0,1,1
2018,10119,1,Alabama,20,-1,0,0,0,1
2018,10137,1,Alabama,23,2,1,0,0,0
2018,10145,1,Alabama,21,0,1,0,0,0
2018,10159,1,Alabama,19,-2,0,0,1,0
2018,10159,1,Alabama,19,-2,0,0,1,1
2018,10169,1,Alabama,23,2,1,0,1,1
2018,10190,1,Alabama,23,2,1,0,1,0
2018,10205,1,Alabama,22,1,1,0,1,0
2018,10213,1,Alabama,24,3,1,0,0,0
2018,10232,1,Alabama,24,3,1,0,0,0
2018,10240,1,Alabama,18,-3,0,0,1,0
2018,10249,1,Alabama,18,-3,0,1,1,1
2018,10250,1,Alabama,21,0,1,0,1,1
2018,10261,1,Alabama,24,3,1,0,1,1
2018,10275,1,Alabama,21,0,1,0,1,0
2018,10284,1,Alabama,19,-2,0,0,1,1
2018,10307,1,Alabama,19,-2,0,0,1,1
2018,10330,1,Alabama,21,0,1,0,0,1
2018,10337,1,Alabama,18,-3,0,0,0,0
2018,10345,1,Alabama,21,0,1,0,0,1
2018,10348,1,Alabama,21,0,1,0,0,0
2018,10351,1,Alabama,23,2,1,1,1,0
2018,10354,1,Alabama,23,2,1,1,1,1
2018,10357,1,Alabama,24,3,1,0,0,0
2018,10361,1,Alabama,21,0,1,1,1,0
2018,10363,1,Alabama,19,-2,0,0,1,0
2018,10366,1,Alabama,22,1,1,0,0,0
2018,10373,1,Alabama,18,-3,0,0,0,1
2018,10379,1,Alabama,18,-3,0,0,0,0
2018,10379,1,Alabama,23,2,1,0,0,1
2018,10385,1,Alabama,20,-1,0,0,0,1
2018,10389,1,Alabama,21,0,1,0,1,0
2018,10389,1,Alabama,24,3,1,0,1,0
2018,10392,1,Alabama,22,1,1,0,1,0
2018,10393,1,Alabama,18,-3,0,0,0,1
2018,10403,1,Alabama,22,1,1,0,1,1
2018,10403,1,Alabama,20,-1,0,0,0,0
2018,10407,1,Alabama,20,-1,0,0,1,0
2018,10422,1,Alabama,20,-1,0,0,1,0
2018,10424,1,Alabama,19,-2,0,0,1,0
2018,10426,1,Alabama,23,2,1,1,1,1
2018,10433,1,Alabama,18,-3,0,0,1,0
2018,10435,1,Alabama,24,3,1,0,1,1
2018,10451,1,Alabama,23,2,1,0,1,0
2018,10452,1,Alabama,19,-2,0,0,0,0
2018,10463,1,Alabama,19,-2,0,0,1,1
