"模型","项","估计值","标准误","t统计量","p值"
"局部线性RD","(Intercept)",0.230815883887945,0.00810589932596967,28.4750494184474,1.39931740161856e-176
"局部线性RD","Z",0.0497880399309258,0.00944594248116625,5.27083877868148,1.36506027300687e-07
"局部线性RD","rv",0.0245225339423756,0.0037038437678709,6.62083378221755,3.61694654182536e-11
"局部线性RD","Zrv",-0.0210818844296293,0.00454012611713865,-4.64345788766675,3.43715426429405e-06
"sharp RD的2SLS等价写法","(Intercept)",0.230815883887945,0.00810589932596967,28.4750494184474,1.39931740161856e-176
"sharp RD的2SLS等价写法","Dhat",0.0497880399309258,0.00944594248116625,5.27083877868148,1.36506027300687e-07
"sharp RD的2SLS等价写法","rv",0.0245225339423756,0.0037038437678709,6.62083378221755,3.61694654182536e-11
"sharp RD的2SLS等价写法","Zrv",-0.0210818844296293,0.00454012611713865,-4.64345788766675,3.43715426429405e-06
"加入性别和年份控制","(Intercept)",0.156298689162286,0.00965994316961345,16.180083714565,1.0720560363358e-58
"加入性别和年份控制","Z",0.0502738353487641,0.00940339894034858,5.34634717379124,9.0238929760651e-08
"加入性别和年份控制","rv",0.0237007758728352,0.00368590482223883,6.43011065555384,1.28948457958647e-10
"加入性别和年份控制","Zrv",-0.0205162410678249,0.00451944190406089,-4.53955189674865,5.65382927247904e-06
"加入性别和年份控制","male",0.085168402977603,0.00440924357937578,19.3158761688689,9.43634412460002e-83
"加入性别和年份控制","factor(year)2019",0.000765393788159082,0.00728596255140626,0.105050469688642,0.916336288931385
"加入性别和年份控制","factor(year)2020",0.0138475367979639,0.00720568828763367,1.92175073986047,0.0546442389669977
"加入性别和年份控制","factor(year)2021",0.0122903306781264,0.00709722552234873,1.73170919247598,0.0833330773735817
"加入性别和年份控制","factor(year)2022",0.0296554680515272,0.00739795443828934,4.00860376998815,6.11896641359435e-05
"加入性别和年份控制","factor(year)2023",0.0247177306601849,0.00736503692818709,3.35609052625201,0.000791263760947241
