"分配编号","均值差","是否至少同样极端"
1,-3.25,1
2,-2.25,1
3,-2.75,1
4,-2.25,1
5,-0.75,1
6,-1.75,1
7,-2.25,1
8,-1.75,1
9,-0.25,0
10,-1.25,1
11,-0.75,1
12,0.75,1
13,-1.25,1
14,0.25,0
15,0.75,1
16,-1.75,1
17,-2.25,1
18,-1.75,1
19,-0.25,0
20,-1.25,1
21,-0.75,1
22,0.75,1
23,-1.25,1
24,0.25,0
25,0.75,1
26,-0.75,1
27,-0.25,0
28,1.25,1
29,-0.75,1
30,0.75,1
31,1.25,1
32,0.25,0
33,1.75,1
34,2.25,1
35,1.75,1
36,-1.75,1
37,-2.25,1
38,-1.75,1
39,-0.25,0
40,-1.25,1
41,-0.75,1
42,0.75,1
43,-1.25,1
44,0.25,0
45,0.75,1
46,-0.75,1
47,-0.25,0
48,1.25,1
49,-0.75,1
50,0.75,1
51,1.25,1
52,0.25,0
53,1.75,1
54,2.25,1
55,1.75,1
56,-0.75,1
57,-0.25,0
58,1.25,1
59,-0.75,1
60,0.75,1
61,1.25,1
62,0.25,0
63,1.75,1
64,2.25,1
65,1.75,1
66,0.75,1
67,2.25,1
68,2.75,1
69,2.25,1
70,3.25,1
