模型,项,估计值,标准误,t统计量,p值
未加控制：事故聚类CR1,截距,0.23081588388788732,0.00822934050149792,28.047919981664847,3.0606569766029787e-171
未加控制：事故聚类CR1,21岁及以上,0.04978803993093915,0.009501035475740974,5.240275131912003,1.6124660303794745e-07
未加控制：事故聚类CR1,年龄差,0.024522533942369112,0.003746481216216107,6.545484289692109,6.010483907353563e-11
未加控制：事故聚类CR1,21岁及以上×年龄差,-0.021081884429619228,0.0045930522663331025,-4.589950910018733,4.448582403557498e-06
性别年份控制：事故聚类CR1,截距,0.15639547661142422,0.009850962087709575,15.876162675171495,1.448276830249802e-56
性别年份控制：事故聚类CR1,21岁及以上,0.050090948026127784,0.009464433838075586,5.292545638029716,1.2133668343139556e-07
性别年份控制：事故聚类CR1,年龄差,0.023784542077289354,0.0037297059654601778,6.377055536696919,1.8272966799259915e-10
性别年份控制：事故聚类CR1,21岁及以上×年龄差,-0.020711766698025987,0.004573612963628021,-4.528535069044489,5.958598984464785e-06
性别年份控制：事故聚类CR1,男性,0.08547547500115749,0.004469599887418703,19.12374198007275,4.082747979710941e-81
性别年份控制：事故聚类CR1,year_2019,0.000528189199080157,0.007684297028595567,0.06873617679204838,0.9452000064212354
性别年份控制：事故聚类CR1,year_2020,0.013532061840631908,0.00758956813650649,1.7829817978102733,0.07459776240364079
性别年份控制：事故聚类CR1,year_2021,0.012260421619687972,0.007490393050251579,1.6368195283525453,0.10167700034128167
性别年份控制：事故聚类CR1,year_2022,0.029551486879278697,0.007721319271234529,3.8272587677304832,0.00012979915154232447
性别年份控制：事故聚类CR1,year_2023,0.024624462808004913,0.007760749913928296,3.1729488878144547,0.0015102696035602411
