模型,项,估计值,标准误,t统计量,p值
局部线性RD,截距,0.23081588388788732,0.00810589932596438,28.475049418458763,1.3993174011726577e-176
局部线性RD,21岁及以上,0.04978803993093915,0.009445942481172084,5.270838778679636,1.3650602730205649e-07
局部线性RD,年龄差,0.024522533942369112,0.0037038437678713534,6.62083378221499,3.616946541887882e-11
局部线性RD,21岁及以上×年龄差,-0.021081884429619228,0.004540126117137123,-4.643457887666098,3.4371542643049014e-06
sharp RD的2SLS等价写法,截距,0.23081588388788732,0.00810589932596438,28.475049418458763,1.3993174011726577e-176
sharp RD的2SLS等价写法,Dhat,0.04978803993093915,0.009445942481172084,5.270838778679636,1.3650602730205649e-07
sharp RD的2SLS等价写法,年龄差,0.024522533942369112,0.0037038437678713534,6.62083378221499,3.616946541887882e-11
sharp RD的2SLS等价写法,21岁及以上×年龄差,-0.021081884429619228,0.004540126117137123,-4.643457887666098,3.4371542643049014e-06
加入性别和年份控制,截距,0.15629868916225353,0.00965994316962233,16.180083714546765,1.0720560366506223e-58
加入性别和年份控制,21岁及以上,0.05027383534878193,0.009403398940358437,5.346347173787524,9.023892976249924e-08
加入性别和年份控制,年龄差,0.0237007758728277,0.0036859048222404717,6.430110655548946,1.2894845796279673e-10
加入性别和年份控制,21岁及以上×年龄差,-0.020516241067814724,0.004519441904060136,-4.539551896747146,5.653829272519332e-06
加入性别和年份控制,男性,0.08516840297760608,0.004409243579376891,19.31587616886477,9.436344125355813e-83
加入性别和年份控制,year_2019,0.0007653937881577054,0.007285962551408692,0.10505046968841772,0.9163362889315629
加入性别和年份控制,year_2020,0.0138475367979666,0.007205688287635426,1.9217507398603724,0.054644238967009595
加入性别和年份控制,year_2021,0.012290330678124215,0.007097225522347448,1.7317091924759802,0.0833330773735817
加入性别和年份控制,year_2022,0.029655468051527228,0.007397954438290644,4.008603769987445,6.118966413612526e-05
加入性别和年份控制,year_2023,0.024717730660183745,0.007365036928187962,3.3560905262514558,0.0007912637609488253
