"country","country_code","year","gdp_per_capita_constant_2015_usd","log_gdp_pc","population","co2_pc_tonnes"
"Burundi","BDI",2024,268.700857391724,5.5935987065048,14047786,0.0652532719390799
"Central African Republic","CAF",2024,389.938307964229,5.96598854190407,5330690,0.0740393832693329
"Madagascar","MDG",2024,453.383067004772,6.11673739067283,31964956,0.141667049377449
"Somalia, Fed. Rep.","SOM",2024,467.269910194415,6.14690705686585,19009151,0.0693973655109584
"Malawi","MWI",2024,551.95152347056,6.313460222621,21655286,0.0868831286735257
"Congo, Dem. Rep.","COD",2024,554.244129980766,6.31760525751705,109276265,0.0540323280631892
"Sudan","SDN",2024,578.38916015625,6.36024692958362,50448963,0.352728756783365
"Niger","NER",2024,595.151744559316,6.38881640590307,27032412,0.117265081636075
"Mozambique","MOZ",2024,605.604720848519,6.40622749741736,34631766,0.248691620288726
"Liberia","LBR",2024,665.101337624192,6.49993941645087,5612817,0.15310832332499
"Gambia, The","GMB",2024,758.96588872906,6.63195683399974,2759988,0.29086140954236
"Burkina Faso","BFA",2024,763.833733522408,6.63835013920291,23548781,0.276348189742815
"Guinea-Bissau","GNB",2024,793.692157673779,6.67669567532958,2201352,0.155444926572397
"Chad","TCD",2024,849.707321000625,6.74489196195522,20299123,0.139483907753059
"Ethiopia","ETH",2024,883.458588619291,6.78384441869664,132059767,0.13506984303554
"Mali","MLI",2024,909.755317910813,6.81317568193912,24478595,0.285099696285673
"Togo","TGO",2024,931.029965529857,6.83629146314992,9515236,0.289386936908344
"Uganda","UGA",2024,986.090145363924,6.89374777574198,50015092,0.126637975593447
"Lesotho","LSO",2024,991.069661910744,6.89878482642124,2337423,1.10025742024443
"Guinea","GIN",2024,1045.92207475817,6.95265414353058,14754785,0.272873173007943
"Rwanda","RWA",2024,1070.45003770926,6.97583443502021,14256567,0.142639528857122
"Tanzania","TZA",2024,1120.77416992188,7.02177494864899,68560157,0.29198247022684
"Sierra Leone","SLE",2024,1137.29005673054,7.03640356827918,8642022,0.165966136165819
"Timor-Leste","TLS",2024,1149.21888298011,7.04683775838339,1400638,0.477005478931744
"Haiti","HTI",2024,1154.87300909888,7.05174566807894,11772557,0.252340506824473
"Myanmar","MMR",2024,1158.47928099316,7.05486345937341,54500091,0.579878628092566
"Nepal","NPL",2024,1179.81272768386,7.07311099951202,29651054,0.633234892763003
"Benin","BEN",2024,1324.78312597434,7.1890040465136,14462724,0.419446502609052
"Zambia","ZMB",2024,1343.38966380353,7.20295129874594,21314956,0.565016366911571
"Sao Tome and Principe","STP",2024,1368.14347554019,7.22120997246384,235536,0.601941953671626
"Kyrgyz Republic","KGZ",2024,1391.68404329929,7.23826983474198,7221868,1.62979411974852
"Comoros","COM",2024,1401.88898411553,7.2455758805189,866628,0.636547630586595
"Zimbabwe","ZWE",2024,1417.71894115853,7.25680447951859,16634373,0.82366519014573
"Cameroon","CMR",2024,1480.73097431993,7.30029114639645,29123744,0.330712390549786
"Tajikistan","TJK",2024,1496.33813395037,7.31077615836243,10590927,1.01405363288785
"Venezuela, RB","VEN",2024,1501.02277449885,7.31390200440233,28405543,4.08520351115978
"Senegal","SEN",2024,1511.89280670234,7.32111765918817,18501984,0.761639724691147
"Pakistan","PAK",2024,1634.56735260799,7.39913343217242,251269164,0.715568823240085
"Congo, Rep.","COG",2024,1679.58061097707,7.4262994049098,6332961,1.39583521831257
"Mauritania","MRT",2024,1688.6139322919,7.43166331299604,5169395,1.01340272894604
"Solomon Islands","SLB",2024,1806.38367324387,7.4990821550706,819198,0.359678612496613
"Kenya","KEN",2024,1860.02287047776,7.52834406258744,56432944,0.376117786801979
"Bangladesh","BGD",2024,1941.27874360025,7.57110218110164,173562364,0.624086221826294
"Kiribati","KIR",2024,2041.87601786956,7.6216242808527,134518,0.538634234823592
"West Bank and Gaza","PSE",2024,2072.09019517685,7.63631313292271,5289152,0.903745250656438
"Ghana","GHA",2024,2167.72691406678,7.68143439247932,34427414,0.610614378413668
"Cambodia","KHM",2024,2182.71843902341,7.68832636931409,17638801,1.24059963032635
"Ukraine","UKR",2024,2219.04248046875,7.70483106671904,37860221,3.76378838359132
"Nicaragua","NIC",2024,2290.47162505995,7.73651302515137,6916140,0.814087916091924
"Nigeria","NGA",2024,2324.64881202751,7.75132425802215,232679478,0.583738631216974
"Cote d'Ivoire","CIV",2024,2395.67689089222,7.78142109659096,31934230,0.464347660801591
"India","IND",2024,2396.94999213544,7.78195237152816,1450935791,2.20097823749942
"Papua New Guinea","PNG",2024,2564.73748186493,7.84961140611565,10576502,0.789055020270407
"Honduras","HND",2024,2573.37159995648,7.85297222468956,10825703,1.1874371576608
"Vanuatu","VUT",2024,2697.09183254533,7.89992937244708,327777,0.601259392818898
"Lao PDR","LAO",2024,2721.07810663082,7.908783443491,7769819,3.14034676998267
"Angola","AGO",2024,2845.47779302975,7.95348627377085,37885849,0.589496727392859
"Micronesia, Fed. Sts.","FSM",2024,2930.27926555574,7.98285300994553,113160,1.33108872393072
"Bolivia","BOL",2024,3045.61476602385,8.02145805337012,12413315,2.31273145005988
"Djibouti","DJI",2024,3290.42482052598,8.09877196020346,1168722,0.482650279536109
"Morocco","MAR",2024,3516.15405273438,8.1651230726161,38081173,1.81355611078472
"Moldova","MDA",2024,3851.51202518347,8.25622108399598,2402306,2.21738737696197
"Eswatini","SWZ",2024,3864.20550510839,8.25951137847002,1242822,0.840541927967159
"Uzbekistan","UZB",2024,3890.41593075015,8.26627135396865,36361859,3.82912710816023
"Philippines","PHL",2024,3925.3048697218,8.27519930101453,115843670,1.50960341639729
"Tunisia","TUN",2024,4006.20588267443,8.2955999084834,12277109,2.66053645039724
"Jordan","JOR",2024,4016.83429143296,8.29824938168688,11552876,2.00981452583755
"Viet Nam","VNM",2024,4017.74604111554,8.29847633808006,100987686,3.67303524510899
"Namibia","NAM",2024,4034.35053463284,8.30260060978928,3030131,1.14487195438085
"Egypt, Arab Rep.","EGY",2024,4137.60929232898,8.32787343440085,116538258,2.21702181269948
"Iraq","IRQ",2024,4180.29619477317,8.33813738300193,46042015,5.07439780817586
"Sri Lanka","LKA",2024,4186.4986638365,8.3396200224844,21916000,0.95024384011681
"Indonesia","IDN",2024,4367.86266621191,8.38202907604491,283487931,2.86509622168007
"Cabo Verde","CPV",2024,4448.96609078891,8.4004270090168,524877,1.13128599652871
"Guatemala","GTM",2024,4563.09590652717,8.42575659901184,18406359,1.08008487718837
"El Salvador","SLV",2024,4585.22599757795,8.43059467411442,6338193,1.41559132074394
"Mongolia","MNG",2024,4626.79609644243,8.4396199197368,3524788,12.6798803218804
"Algeria","DZA",2024,4765.72900168387,8.46920579529591,46814308,4.23381629394159
"Samoa","WSM",2024,4880.54418032056,8.49301200499092,218019,1.12644769492567
"Equatorial Guinea","GNQ",2024,5041.94038551173,8.52554628409838,1892516,3.70424979233993
"Armenia","ARM",2024,5378.31799981682,8.59013096483468,3033500,2.449551672985
"South Africa","ZAF",2024,5715.47531469148,8.6509327424453,64007187,6.87157990555029
"Marshall Islands","MHL",2024,5811.03355673487,8.66751372675037,37548,4.11420049003942
"Iran, Islamic Rep.","IRN",2024,5834.44296939863,8.67153407647881,91567738,8.65622780809547
"Azerbaijan","AZE",2024,5871.14373251952,8.67780473754266,10202830,3.90383256410231
"Fiji","FJI",2024,5935.20896505673,8.68865751536358,928784,1.55613791796586
"Ecuador","ECU",2024,5999.39391066593,8.69941372821883,18135478,2.53533697871101
"Jamaica","JAM",2024,6096.4327030963,8.71545907632647,2839175,2.95922688809249
"Belize","BLZ",2024,6290.49294452749,8.74679471618297,417072,1.90860810603445
"Albania","ALB",2024,6549.23387415397,8.78710335601025,2377128,1.86967130083025
"Thailand","THA",2024,6574.46109387985,8.79094789077882,71668011,3.73611875457239
"Gabon","GAB",2024,6618.98685865885,8.79769759472019,2538952,2.12638679266091
"North Macedonia","MKD",2024,6628.84686594032,8.79918614134707,1824359,3.62847224696455
"Paraguay","PRY",2024,6640.83816613117,8.8009934643432,6929153,1.14540954716976
