Package,Version,Source
askpass,1.2.1,fresh-library
bdsmatrix,1.3-7,fresh-library
bit,4.6.0,fresh-library
bit64,4.8.6,fresh-library
cli,3.6.6,fresh-library
clipr,0.8.1,fresh-library
collapse,2.1.8,fresh-library
colorspace,2.1-3,fresh-library
cpp11,0.5.5,fresh-library
crayon,1.5.3,fresh-library
curl,8.0.0,fresh-library
DBI,1.3.0,fresh-library
digest,0.6.39,fresh-library
dplyr,1.2.1,fresh-library
farver,2.1.2,fresh-library
foreach,1.5.2,fresh-library
forecast,9.0.2,fresh-library
Formula,1.2-6,fresh-library
fracdiff,1.5-4,fresh-library
generics,0.1.4,fresh-library
ggplot2,4.0.3,fresh-library
glmnet,5.0,fresh-library
glue,1.8.1,fresh-library
gtable,0.3.6,fresh-library
hms,1.1.4,fresh-library
httr2,1.3.0,fresh-library
isoband,0.3.0,fresh-library
iterators,1.0.14,fresh-library
jsonlite,2.0.0,fresh-library
labeling,0.4.3,fresh-library
lifecycle,1.0.5,fresh-library
lmtest,0.9-40,fresh-library
lpdensity,3.0.1,fresh-library
magrittr,2.0.5,fresh-library
maxLik,1.5-2.2,fresh-library
minqa,1.2.8,fresh-library
miscTools,0.6-30,fresh-library
mitools,2.7,fresh-library
numDeriv,2016.8-1.1,fresh-library
openssl,2.4.2,fresh-library
pillar,1.11.1,fresh-library
pkgconfig,2.0.3,fresh-library
plm,2.6-7,fresh-library
prettyunits,1.2.0,fresh-library
progress,1.2.3,fresh-library
purrr,1.2.2,fresh-library
quadprog,1.5-8,fresh-library
quantmod,0.4.29,fresh-library
R6,2.6.1,fresh-library
ranger,0.18.0,fresh-library
rbibutils,2.4.1,fresh-library
RColorBrewer,1.1-3,fresh-library
Rcpp,1.1.2,fresh-library
RcppArmadillo,15.6.0-1,fresh-library
RcppEigen,0.3.4.0.2,fresh-library
rddensity,3.0,fresh-library
Rdpack,2.6.6,fresh-library
rdrobust,4.0.0,fresh-library
readr,2.2.0,fresh-library
rlang,1.3.0,fresh-library
S7,0.2.2,fresh-library
sandwich,3.1-3,fresh-library
scales,1.4.0,fresh-library
shape,1.4.6.1,fresh-library
stringi,1.8.9,fresh-library
stringr,1.6.0,fresh-library
strucchange,1.6-0,fresh-library
survey,4.5,fresh-library
sys,3.4.3,fresh-library
tibble,3.3.1,fresh-library
tidyr,1.3.2,fresh-library
tidyselect,1.2.1,fresh-library
timeDate,4052.112,fresh-library
tseries,0.10-63,fresh-library
TTR,0.24.4,fresh-library
tzdb,0.5.0,fresh-library
urca,1.3-4,fresh-library
utf8,1.2.6,fresh-library
vars,1.6-1,fresh-library
vctrs,0.7.3,fresh-library
viridisLite,0.4.3,fresh-library
vroom,1.7.1,fresh-library
withr,3.0.3,fresh-library
writexl,2.0.1,fresh-library
xts,0.14.3,fresh-library
zoo,1.9-0,fresh-library
base,4.5.1,R-distribution
boot,1.3-31,R-distribution
class,7.3-23,R-distribution
cluster,2.1.8.1,R-distribution
codetools,0.2-20,R-distribution
compiler,4.5.1,R-distribution
datasets,4.5.1,R-distribution
foreign,0.8-90,R-distribution
graphics,4.5.1,R-distribution
grDevices,4.5.1,R-distribution
grid,4.5.1,R-distribution
KernSmooth,2.23-26,R-distribution
lattice,0.22-7,R-distribution
MASS,7.3-65,R-distribution
Matrix,1.7-3,R-distribution
methods,4.5.1,R-distribution
mgcv,1.9-3,R-distribution
nlme,3.1-168,R-distribution
nnet,7.3-20,R-distribution
parallel,4.5.1,R-distribution
rpart,4.1.24,R-distribution
spatial,7.3-18,R-distribution
splines,4.5.1,R-distribution
stats,4.5.1,R-distribution
stats4,4.5.1,R-distribution
survival,3.8-3,R-distribution
tcltk,4.5.1,R-distribution
tools,4.5.1,R-distribution
utils,4.5.1,R-distribution
