country,country_code,year,reason
Africa Eastern and Southern,AFE,2024,metadata region.id=NA
Africa Western and Central,AFW,2024,metadata region.id=NA
Arab World,ARB,2024,metadata region.id=NA
Central Europe and the Baltics,CEB,2024,metadata region.id=NA
Caribbean small states,CSS,2024,metadata region.id=NA
East Asia & Pacific (excluding high income),EAP,2024,metadata region.id=NA
Early-demographic dividend,EAR,2024,metadata region.id=NA
East Asia & Pacific,EAS,2024,metadata region.id=NA
Europe & Central Asia (excluding high income),ECA,2024,metadata region.id=NA
Europe & Central Asia,ECS,2024,metadata region.id=NA
Euro area,EMU,2024,metadata region.id=NA
European Union,EUU,2024,metadata region.id=NA
Fragile and conflict affected situations,FCS,2024,historical FCS aggregate
Heavily indebted poor countries (HIPC),HPC,2024,metadata region.id=NA
IBRD only,IBD,2024,metadata region.id=NA
IDA & IBRD total,IBT,2024,metadata region.id=NA
IDA total,IDA,2024,metadata region.id=NA
IDA blend,IDB,2024,metadata region.id=NA
IDA only,IDX,2024,metadata region.id=NA
Latin America & Caribbean (excluding high income),LAC,2024,metadata region.id=NA
Latin America & Caribbean,LCN,2024,metadata region.id=NA
Least developed countries: UN classification,LDC,2024,metadata region.id=NA
Low & middle income,LMY,2024,metadata region.id=NA
Late-demographic dividend,LTE,2024,metadata region.id=NA
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,metadata region.id=NA
Middle income,MIC,2024,metadata region.id=NA
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,metadata region.id=NA
North America,NAC,2024,metadata region.id=NA
OECD members,OED,2024,metadata region.id=NA
Other small states,OSS,2024,metadata region.id=NA
Pre-demographic dividend,PRE,2024,metadata region.id=NA
Pacific island small states,PSS,2024,metadata region.id=NA
Post-demographic dividend,PST,2024,metadata region.id=NA
South Asia,SAS,2024,metadata region.id=NA
Sub-Saharan Africa (excluding high income),SSA,2024,metadata region.id=NA
Sub-Saharan Africa,SSF,2024,metadata region.id=NA
Small states,SST,2024,metadata region.id=NA
East Asia & Pacific (IDA & IBRD countries),TEA,2024,metadata region.id=NA
Europe & Central Asia (IDA & IBRD countries),TEC,2024,metadata region.id=NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,2024,metadata region.id=NA
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,metadata region.id=NA
South Asia (IDA & IBRD),TSA,2024,metadata region.id=NA
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,metadata region.id=NA
World,WLD,2024,metadata region.id=NA
