series_id,year,month,date,value,series_type,state_fips
CUUR0000SA0,2015,1,2015-01,233.707,national_cpi_all_items,
CUUR0000SA0,2015,2,2015-02,234.722,national_cpi_all_items,
CUUR0000SA0,2015,3,2015-03,236.119,national_cpi_all_items,
CUUR0000SA0,2015,4,2015-04,236.599,national_cpi_all_items,
CUUR0000SA0,2015,5,2015-05,237.805,national_cpi_all_items,
CUUR0000SA0,2015,6,2015-06,238.638,national_cpi_all_items,
CUUR0000SA0,2015,7,2015-07,238.654,national_cpi_all_items,
CUUR0000SA0,2015,8,2015-08,238.316,national_cpi_all_items,
CUUR0000SA0,2015,9,2015-09,237.945,national_cpi_all_items,
CUUR0000SA0,2015,10,2015-10,237.838,national_cpi_all_items,
CUUR0000SA0,2015,11,2015-11,237.336,national_cpi_all_items,
CUUR0000SA0,2015,12,2015-12,236.525,national_cpi_all_items,
CUUR0000SA0,2016,1,2016-01,236.916,national_cpi_all_items,
CUUR0000SA0,2016,2,2016-02,237.111,national_cpi_all_items,
CUUR0000SA0,2016,3,2016-03,238.132,national_cpi_all_items,
CUUR0000SA0,2016,4,2016-04,239.261,national_cpi_all_items,
CUUR0000SA0,2016,5,2016-05,240.229,national_cpi_all_items,
CUUR0000SA0,2016,6,2016-06,241.018,national_cpi_all_items,
CUUR0000SA0,2016,7,2016-07,240.628,national_cpi_all_items,
CUUR0000SA0,2016,8,2016-08,240.849,national_cpi_all_items,
CUUR0000SA0,2016,9,2016-09,241.428,national_cpi_all_items,
CUUR0000SA0,2016,10,2016-10,241.729,national_cpi_all_items,
CUUR0000SA0,2016,11,2016-11,241.353,national_cpi_all_items,
CUUR0000SA0,2016,12,2016-12,241.432,national_cpi_all_items,
CUUR0000SA0,2017,1,2017-01,242.839,national_cpi_all_items,
CUUR0000SA0,2017,2,2017-02,243.603,national_cpi_all_items,
CUUR0000SA0,2017,3,2017-03,243.801,national_cpi_all_items,
CUUR0000SA0,2017,4,2017-04,244.524,national_cpi_all_items,
CUUR0000SA0,2017,5,2017-05,244.733,national_cpi_all_items,
CUUR0000SA0,2017,6,2017-06,244.955,national_cpi_all_items,
CUUR0000SA0,2017,7,2017-07,244.786,national_cpi_all_items,
CUUR0000SA0,2017,8,2017-08,245.519,national_cpi_all_items,
CUUR0000SA0,2017,9,2017-09,246.819,national_cpi_all_items,
CUUR0000SA0,2017,10,2017-10,246.663,national_cpi_all_items,
CUUR0000SA0,2017,11,2017-11,246.669,national_cpi_all_items,
CUUR0000SA0,2017,12,2017-12,246.524,national_cpi_all_items,
CUUR0000SA0,2018,1,2018-01,247.867,national_cpi_all_items,
CUUR0000SA0,2018,2,2018-02,248.991,national_cpi_all_items,
CUUR0000SA0,2018,3,2018-03,249.554,national_cpi_all_items,
CUUR0000SA0,2018,4,2018-04,250.546,national_cpi_all_items,
CUUR0000SA0,2018,5,2018-05,251.588,national_cpi_all_items,
CUUR0000SA0,2018,6,2018-06,251.989,national_cpi_all_items,
CUUR0000SA0,2018,7,2018-07,252.006,national_cpi_all_items,
CUUR0000SA0,2018,8,2018-08,252.146,national_cpi_all_items,
CUUR0000SA0,2018,9,2018-09,252.439,national_cpi_all_items,
CUUR0000SA0,2018,10,2018-10,252.885,national_cpi_all_items,
CUUR0000SA0,2018,11,2018-11,252.038,national_cpi_all_items,
CUUR0000SA0,2018,12,2018-12,251.233,national_cpi_all_items,
CUUR0000SA0,2019,1,2019-01,251.712,national_cpi_all_items,
CUUR0000SA0,2019,2,2019-02,252.776,national_cpi_all_items,
CUUR0000SA0,2019,3,2019-03,254.202,national_cpi_all_items,
CUUR0000SA0,2019,4,2019-04,255.548,national_cpi_all_items,
CUUR0000SA0,2019,5,2019-05,256.092,national_cpi_all_items,
CUUR0000SA0,2019,6,2019-06,256.143,national_cpi_all_items,
CUUR0000SA0,2019,7,2019-07,256.571,national_cpi_all_items,
CUUR0000SA0,2019,8,2019-08,256.558,national_cpi_all_items,
CUUR0000SA0,2019,9,2019-09,256.759,national_cpi_all_items,
CUUR0000SA0,2019,10,2019-10,257.346,national_cpi_all_items,
CUUR0000SA0,2019,11,2019-11,257.208,national_cpi_all_items,
CUUR0000SA0,2019,12,2019-12,256.974,national_cpi_all_items,
CUUR0000SA0,2020,1,2020-01,257.971,national_cpi_all_items,
CUUR0000SA0,2020,2,2020-02,258.678,national_cpi_all_items,
CUUR0000SA0,2020,3,2020-03,258.115,national_cpi_all_items,
CUUR0000SA0,2020,4,2020-04,256.389,national_cpi_all_items,
