"unit","period","treated","unit_fe","post","common_trend","tau","y"
1,-3,0,-0.883274482760055,0,-1.05,0,3.40922137649111
2,-3,0,-0.850756664569119,0,-1.05,0,3.35479371716189
3,-3,0,-0.273454113121174,0,-1.05,0,3.78677469205561
4,-3,0,-0.150188636143669,0,-1.05,0,3.7491089220953
5,-3,0,-0.0157663379503701,0,-1.05,0,4.50209139083608
6,-3,0,-0.122460250963236,0,-1.05,0,4.44902054282098
7,-3,0,-0.500952547659317,0,-1.05,0,3.51950096624631
8,-3,0,-1.57193907963052,0,-1.05,0,1.88533913301709
9,-3,0,1.12869147232923,0,-1.05,0,5.16621407301026
10,-3,0,-0.139908243723942,0,-1.05,0,4.32750810213105
11,-3,0,0.803439105329328,0,-1.05,0,5.08742711156057
12,-3,0,-0.196360623110461,0,-1.05,0,3.75665145995972
13,-3,0,1.75191247589372,0,-1.05,0,5.6131302880324
14,-3,0,-0.736825076470712,0,-1.05,0,2.59383136962007
15,-3,0,-0.87151709269739,0,-1.05,0,3.13405044235046
16,-3,0,1.12874019186149,0,-1.05,0,4.68031569389536
17,-3,0,-0.53487688016045,0,-1.05,0,3.8794340575873
18,-3,0,0.536686542275695,0,-1.05,0,4.85350184652064
19,-3,0,0.139411426571685,0,-1.05,0,3.74917977779125
20,-3,0,0.745740965107157,0,-1.05,0,4.67256365925964
21,-3,1,-0.982291742352728,0,-1.05,0,2.41795952264681
22,-3,1,-0.248351309794533,0,-1.05,0,3.01037311888489
23,-3,1,-0.0952771214549698,0,-1.05,0,4.19631833561653
24,-3,1,0.150115561024189,0,-1.05,0,3.76927838201329
25,-3,1,0.110556093972052,0,-1.05,0,3.95074427936557
26,-3,1,-0.813204600390838,0,-1.05,0,2.61589577041562
27,-3,1,-0.389133655404756,0,-1.05,0,3.37225913887251
28,-3,1,0.868142991582369,0,-1.05,0,4.41427472803981
29,-3,1,-0.400024128172809,0,-1.05,0,3.28239574380579
30,-3,1,-0.387015385457301,0,-1.05,0,2.84924300049519
31,-3,1,0.10709542852295,0,-1.05,0,3.46442981543538
32,-3,1,-0.59760284543501,0,-1.05,0,3.06166887395581
33,-3,1,0.765673144076656,0,-1.05,0,5.6412535717076
34,-3,1,-0.560820407293807,0,-1.05,0,3.43356841609059
35,-3,1,0.499091631051715,0,-1.05,0,4.68920805339341
36,-3,1,-0.516106674988293,0,-1.05,0,3.73031955932715
37,-3,1,-0.019465588732605,0,-1.05,0,3.35986686853638
38,-3,1,0.383011566955416,0,-1.05,0,4.87956905162541
39,-3,1,0.0253614626457055,0,-1.05,0,4.77990642363324
40,-3,1,-0.3522236761108,0,-1.05,0,3.67015220324292
